Tester_Strain,Tailocin_donor_strain,Rep1,Rep2,Rep3,Final_numeric,Final_qualitative
p4.D2,p25.A12 no MMC,R,R,R,0,Resistant
p4.D2,p25.A12 KO,S,R,R,3,Partially Sensitive
p4.D2,p25.A12 KO no MMC,R,R,R,0,Resistant
p4.D2,P-buffer,R,R,R,0,Resistant
p12.E2,p21.F9,O,O,O,3,Partially Sensitive
p12.E2,p21.F9 no MMC,R,R,R,0,Resistant
p12.E2,p25.C2,O,O,O,3,Partially Sensitive
p12.E2,p25.C2 no MMC,R,R,R,0,Resistant
p12.E2,p5.D5,S,O,O,5,Mostly Sensitive
p12.E2,p5.D5 no MMC,R,R,R,0,Resistant
p12.E2,p26.D6,S,O,O,5,Mostly Sensitive
p12.E2,p26.D6 no MMC,R,R,R,0,Resistant
p12.E2,p23.B8,S,O,O,5,Mostly Sensitive
p12.E2,p23.B8 no MMC,R,R,R,0,Resistant
p12.E2,p25.A12,S,S,S,9,Sensitive
p12.E2,p25.A12 no MMC,R,O,R,1,Partially Sensitive
p12.E2,p25.A12 KO,SC,R,R,2,Partially Sensitive
p12.E2,p25.A12 KO no MMC,R,R,R,0,Resistant
p12.E2,P-buffer,R,R,R,0,Resistant
p13.C1,p21.F9,O,R,R,1,Partially Sensitive
p13.C1,p21.F9 no MMC,R,R,R,0,Resistant
p13.C1,p25.C2,O,R,R,1,Partially Sensitive
p13.C1,p25.C2 no MMC,R,R,R,0,Resistant
p13.C1,p5.D5,SC,R,R,2,Partially Sensitive
p13.C1,p5.D5 no MMC,R,R,R,0,Resistant
p13.C1,p26.D6,SC,phage,phage,NA,
p13.C1,p26.D6 no MMC,R,R,S,3,Partially Sensitive
p13.C1,p23.B8,SC,R,R,2,Partially Sensitive
p13.C1,p23.B8 no MMC,R,R,R,0,Resistant
p13.C1,p25.A12,SC,S,S,8,Sensitive
p13.C1,p25.A12 no MMC,R,R,R,0,Resistant
p13.C1,p25.A12 KO,O,R,R,1,Partially Sensitive
p13.C1,p25.A12 KO no MMC,R,R,R,0,Resistant
p13.C1,P-buffer,R,R,R,0,Resistant
p4.H3,p21.F9,R,R,R,0,Resistant
p4.H3,p21.F9 no MMC,R,R,R,0,Resistant
p4.H3,p25.C2,R,R,R,0,Resistant
p4.H3,p25.C2 no MMC,R,R,R,0,Resistant
p4.H3,p5.D5,R,R,R,0,Resistant
p4.H3,p5.D5 no MMC,R,R,R,0,Resistant
p4.H3,p26.D6,R,R,R,0,Resistant
p4.H3,p26.D6 no MMC,R,R,R,0,Resistant
p4.H3,p23.B8,R,R,R,0,Resistant
p4.H3,p23.B8 no MMC,R,R,R,0,Resistant
p4.H3,p25.A12,R,R,R,0,Resistant
p4.H3,p25.A12 no MMC,R,R,R,0,Resistant
p4.H3,p25.A12 KO,R,R,R,0,Resistant
p4.H3,p25.A12 KO no MMC,R,R,R,0,Resistant
p4.H3,P-buffer,R,R,R,0,Resistant
p4.C5,p21.F9,R,R,R,0,Resistant
p4.C5,p21.F9 no MMC,R,R,R,0,Resistant
p4.C5,p25.C2,R,R,R,0,Resistant
p4.C5,p25.C2 no MMC,R,R,R,0,Resistant
p4.C5,p5.D5,R,R,R,0,Resistant
p4.C5,p5.D5 no MMC,R,R,R,0,Resistant
p4.C5,p26.D6,R,R,R,0,Resistant
p4.C5,p26.D6 no MMC,R,R,R,0,Resistant
p4.C5,p23.B8,R,R,R,0,Resistant
p4.C5,p23.B8 no MMC,R,R,R,0,Resistant
p4.C5,p25.A12,R,R,R,0,Resistant
p4.C5,p25.A12 no MMC,R,R,R,0,Resistant
p4.C5,p25.A12 KO,R,R,R,0,Resistant
p4.C5,p25.A12 KO no MMC,R,R,R,0,Resistant
p4.C5,P-buffer,R,R,R,0,Resistant
p6.G3,p21.F9,R,R,R,0,Resistant
p6.G3,p21.F9 no MMC,R,R,R,0,Resistant
p6.G3,p25.C2,R,R,R,0,Resistant
p6.G3,p25.C2 no MMC,R,R,R,0,Resistant
p6.G3,p5.D5,R,R,R,0,Resistant
p6.G3,p5.D5 no MMC,R,R,R,0,Resistant
p6.G3,p26.D6,R,R,R,0,Resistant
p6.G3,p26.D6 no MMC,R,R,R,0,Resistant
p6.G3,p23.B8,R,R,R,0,Resistant
p6.G3,p23.B8 no MMC,R,R,R,0,Resistant
p6.G3,p25.A12,R,R,R,0,Resistant
p6.G3,p25.A12 no MMC,R,R,R,0,Resistant
p6.G3,p25.A12 KO,R,R,R,0,Resistant
p6.G3,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.G3,P-buffer,R,R,R,0,Resistant
p9.H10,p21.F9,R,R,R,0,Resistant
p9.H10,p21.F9 no MMC,R,R,R,0,Resistant
p9.H10,p25.C2,R,R,R,0,Resistant
p9.H10,p25.C2 no MMC,R,R,R,0,Resistant
p9.H10,p5.D5,R,R,R,0,Resistant
p9.H10,p5.D5 no MMC,R,R,R,0,Resistant
p9.H10,p26.D6,R,R,R,0,Resistant
p9.H10,p26.D6 no MMC,R,R,R,0,Resistant
p9.H10,p23.B8,R,R,R,0,Resistant
p9.H10,p23.B8 no MMC,R,R,R,0,Resistant
p9.H10,p25.A12,R,R,R,0,Resistant
p9.H10,p25.A12 no MMC,R,R,R,0,Resistant
p9.H10,p25.A12 KO,R,R,R,0,Resistant
p9.H10,p25.A12 KO no MMC,R,R,R,0,Resistant
p9.H10,P-buffer,R,R,R,0,Resistant
p4.A8,p21.F9,R,R,R,0,Resistant
p4.A8,p21.F9 no MMC,R,R,R,0,Resistant
p4.A8,p25.C2,R,R,R,0,Resistant
p4.A8,p25.C2 no MMC,R,R,R,0,Resistant
p4.A8,p5.D5,R,R,R,0,Resistant
p4.A8,p5.D5 no MMC,R,R,R,0,Resistant
p4.A8,p26.D6,R,R,R,0,Resistant
p4.A8,p26.D6 no MMC,R,R,R,0,Resistant
p4.A8,p23.B8,R,R,R,0,Resistant
p4.A8,p23.B8 no MMC,R,R,R,0,Resistant
p4.A8,p25.A12,R,R,R,0,Resistant
p4.A8,p25.A12 no MMC,R,R,R,0,Resistant
p4.A8,p25.A12 KO,R,R,R,0,Resistant
p4.A8,p25.A12 KO no MMC,R,R,R,0,Resistant
p4.A8,P-buffer,R,R,R,0,Resistant
p26.F6,p21.F9,R,R,R,0,Resistant
p26.F6,p21.F9 no MMC,R,R,R,0,Resistant
p26.F6,p25.C2,R,R,R,0,Resistant
p26.F6,p25.C2 no MMC,R,R,R,0,Resistant
p26.F6,p5.D5,R,R,R,0,Resistant
p26.F6,p5.D5 no MMC,R,R,R,0,Resistant
p26.F6,p26.D6,R,R,R,0,Resistant
p26.F6,p26.D6 no MMC,R,R,R,0,Resistant
p26.F6,p23.B8,R,R,R,0,Resistant
p26.F6,p23.B8 no MMC,R,R,R,0,Resistant
p26.F6,p25.A12,R,R,R,0,Resistant
p26.F6,p25.A12 no MMC,R,R,R,0,Resistant
p26.F6,p25.A12 KO,R,R,R,0,Resistant
p26.F6,p25.A12 KO no MMC,R,R,R,0,Resistant
p26.F6,P-buffer,R,R,R,0,Resistant
p6.F1,p21.F9,R,R,R,0,Resistant
p6.F1,p21.F9 no MMC,R,R,R,0,Resistant
p6.F1,p25.C2,R,R,R,0,Resistant
p6.F1,p25.C2 no MMC,R,R,R,0,Resistant
p6.F1,p5.D5,R,R,R,0,Resistant
p6.F1,p5.D5 no MMC,R,R,R,0,Resistant
p6.F1,p26.D6,R,R,R,0,Resistant
p6.F1,p26.D6 no MMC,R,R,R,0,Resistant
p6.F1,p23.B8,R,R,R,0,Resistant
p6.F1,p23.B8 no MMC,R,R,R,0,Resistant
p6.F1,p25.A12,R,R,R,0,Resistant
p6.F1,p25.A12 no MMC,R,R,R,0,Resistant
p6.F1,p25.A12 KO,R,R,R,0,Resistant
p6.F1,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.F1,P-buffer,R,R,R,0,Resistant
p4.D11,p21.F9,R,R,R,0,Resistant
p4.D11,p21.F9 no MMC,R,R,R,0,Resistant
p4.D11,p25.C2,R,R,R,0,Resistant
p4.D11,p25.C2 no MMC,R,R,R,0,Resistant
p4.D11,p5.D5,R,R,R,0,Resistant
p4.D11,p5.D5 no MMC,R,R,R,0,Resistant
p4.D11,p26.D6,R,R,R,0,Resistant
p4.D11,p26.D6 no MMC,R,R,R,0,Resistant
p4.D11,p23.B8,R,R,R,0,Resistant
p4.D11,p23.B8 no MMC,R,R,R,0,Resistant
p4.D11,p25.A12,R,R,R,0,Resistant
p4.D11,p25.A12 no MMC,R,R,R,0,Resistant
p4.D11,p25.A12 KO,R,R,R,0,Resistant
p4.D11,p25.A12 KO no MMC,R,R,R,0,Resistant
p4.D11,P-buffer,R,R,R,0,Resistant
p20.B10,p21.F9,R,R,R,0,Resistant
p20.B10,p21.F9 no MMC,R,R,R,0,Resistant
p20.B10,p25.C2,R,R,R,0,Resistant
p20.B10,p25.C2 no MMC,R,R,R,0,Resistant
p20.B10,p5.D5,R,R,R,0,Resistant
p20.B10,p5.D5 no MMC,R,R,R,0,Resistant
p20.B10,p26.D6,R,R,R,0,Resistant
p20.B10,p26.D6 no MMC,R,R,R,0,Resistant
p20.B10,p23.B8,R,R,R,0,Resistant
p20.B10,p23.B8 no MMC,R,R,R,0,Resistant
p20.B10,p25.A12,R,R,R,0,Resistant
p20.B10,p25.A12 no MMC,R,R,R,0,Resistant
p20.B10,p25.A12 KO,R,R,R,0,Resistant
p20.B10,p25.A12 KO no MMC,R,R,R,0,Resistant
p20.B10,P-buffer,R,R,R,0,Resistant
p7.F2,p21.F9,R,R,R,0,Resistant
p7.F2,p21.F9 no MMC,R,R,R,0,Resistant
p7.F2,p25.C2,R,R,R,0,Resistant
p7.F2,p25.C2 no MMC,R,R,R,0,Resistant
p7.F2,p5.D5,R,R,R,0,Resistant
p7.F2,p5.D5 no MMC,R,R,R,0,Resistant
p7.F2,p26.D6,R,R,R,0,Resistant
p7.F2,p26.D6 no MMC,R,R,R,0,Resistant
p7.F2,p23.B8,R,R,R,0,Resistant
p7.F2,p23.B8 no MMC,R,R,R,0,Resistant
p7.F2,p25.A12,R,R,R,0,Resistant
p7.F2,p25.A12 no MMC,R,R,R,0,Resistant
p7.F2,p25.A12 KO,R,R,R,0,Resistant
p7.F2,p25.A12 KO no MMC,R,R,R,0,Resistant
p7.F2,P-buffer,R,R,R,0,Resistant
p6.E9,p21.F9,R,R,R,0,Resistant
p6.E9,p21.F9 no MMC,R,R,R,0,Resistant
p6.E9,p25.C2,R,R,R,0,Resistant
p6.E9,p25.C2 no MMC,R,R,R,0,Resistant
p6.E9,p5.D5,R,R,R,0,Resistant
p6.E9,p5.D5 no MMC,R,R,R,0,Resistant
p6.E9,p26.D6,R,R,R,0,Resistant
p6.E9,p26.D6 no MMC,R,R,R,0,Resistant
p6.E9,p23.B8,R,R,R,0,Resistant
p6.E9,p23.B8 no MMC,R,R,R,0,Resistant
p6.E9,p25.A12,R,R,R,0,Resistant
p6.E9,p25.A12 no MMC,R,R,R,0,Resistant
p6.E9,p25.A12 KO,R,R,R,0,Resistant
p6.E9,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.E9,P-buffer,R,R,R,0,Resistant
p27.C5,p21.F9,R,R,R,0,Resistant
p27.C5,p21.F9 no MMC,R,R,R,0,Resistant
p27.C5,p25.C2,R,R,R,0,Resistant
p27.C5,p25.C2 no MMC,R,R,R,0,Resistant
p27.C5,p5.D5,R,R,R,0,Resistant
p27.C5,p5.D5 no MMC,R,R,R,0,Resistant
p27.C5,p26.D6,R,R,R,0,Resistant
p27.C5,p26.D6 no MMC,R,R,R,0,Resistant
p27.C5,p23.B8,R,R,R,0,Resistant
p27.C5,p23.B8 no MMC,R,R,R,0,Resistant
p27.C5,p25.A12,R,R,R,0,Resistant
p27.C5,p25.A12 no MMC,R,R,R,0,Resistant
p27.C5,p25.A12 KO,R,R,R,0,Resistant
p27.C5,p25.A12 KO no MMC,R,R,R,0,Resistant
p27.C5,P-buffer,R,R,R,0,Resistant
p13.F1,p21.F9,R,R,R,0,Resistant
p13.F1,p21.F9 no MMC,R,R,R,0,Resistant
p13.F1,p25.C2,R,R,R,0,Resistant
p13.F1,p25.C2 no MMC,R,R,R,0,Resistant
p13.F1,p5.D5,O,R,R,1,Partially Sensitive
p13.F1,p5.D5 no MMC,R,R,R,0,Resistant
p13.F1,p26.D6,R,R,R,0,Resistant
p13.F1,p26.D6 no MMC,R,R,R,0,Resistant
p13.F1,p23.B8,R,R,R,0,Resistant
p13.F1,p23.B8 no MMC,R,R,R,0,Resistant
p13.F1,p25.A12,R,R,R,0,Resistant
p13.F1,p25.A12 no MMC,R,R,R,0,Resistant
p13.F1,p25.A12 KO,R,R,R,0,Resistant
p13.F1,p25.A12 KO no MMC,R,R,R,0,Resistant
p13.F1,P-buffer,R,R,R,0,Resistant
p12.H7,p21.F9,R,R,R,0,Resistant
p12.H7,p21.F9 no MMC,R,R,R,0,Resistant
p12.H7,p25.C2,R,R,R,0,Resistant
p12.H7,p25.C2 no MMC,R,R,R,0,Resistant
p12.H7,p5.D5,R,R,R,0,Resistant
p12.H7,p5.D5 no MMC,R,R,R,0,Resistant
p12.H7,p26.D6,R,R,R,0,Resistant
p12.H7,p26.D6 no MMC,R,R,R,0,Resistant
p12.H7,p23.B8,R,R,R,0,Resistant
p12.H7,p23.B8 no MMC,R,R,R,0,Resistant
p12.H7,p25.A12,R,R,R,0,Resistant
p12.H7,p25.A12 no MMC,R,R,R,0,Resistant
p12.H7,p25.A12 KO,R,R,R,0,Resistant
p12.H7,p25.A12 KO no MMC,R,R,R,0,Resistant
p12.H7,P-buffer,R,R,R,0,Resistant
p6.B5,p21.F9,R,R,R,0,Resistant
p6.B5,p21.F9 no MMC,R,R,R,0,Resistant
p6.B5,p25.C2,R,R,R,0,Resistant
p6.B5,p25.C2 no MMC,R,R,R,0,Resistant
p6.B5,p5.D5,R,R,R,0,Resistant
p6.B5,p5.D5 no MMC,R,R,R,0,Resistant
p6.B5,p26.D6,R,R,R,0,Resistant
p6.B5,p26.D6 no MMC,R,R,R,0,Resistant
p6.B5,p23.B8,R,R,R,0,Resistant
p6.B5,p23.B8 no MMC,R,R,R,0,Resistant
p6.B5,p25.A12,R,R,R,0,Resistant
p6.B5,p25.A12 no MMC,R,R,R,0,Resistant
p6.B5,p25.A12 KO,R,R,R,0,Resistant
p6.B5,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.B5,P-buffer,R,R,R,0,Resistant
p5.F2,p21.F9,R,R,R,0,Resistant
p5.F2,p21.F9 no MMC,R,O,R,1,Partially Sensitive
p5.F2,p25.C2,R,R,R,0,Resistant
p5.F2,p25.C2 no MMC,R,R,R,0,Resistant
p5.F2,p5.D5,R,R,R,0,Resistant
p5.F2,p5.D5 no MMC,R,R,R,0,Resistant
p5.F2,p26.D6,R,O,R,1,Partially Sensitive
p5.F2,p26.D6 no MMC,R,R,R,0,Resistant
p5.F2,p23.B8,R,O,R,1,Partially Sensitive
p5.F2,p23.B8 no MMC,R,R,R,0,Resistant
p5.F2,p25.A12,R,O,R,1,Partially Sensitive
p5.F2,p25.A12 no MMC,R,R,R,0,Resistant
p5.F2,p25.A12 KO,R,R,R,0,Resistant
p5.F2,p25.A12 KO no MMC,R,R,R,0,Resistant
p5.F2,P-buffer,R,R,R,0,Resistant
p13.D5,p21.F9,R,R,R,0,Resistant
p13.D5,p21.F9 no MMC,R,R,R,0,Resistant
p13.D5,p25.C2,R,R,R,0,Resistant
p13.D5,p25.C2 no MMC,R,R,R,0,Resistant
p13.D5,p5.D5,R,R,R,0,Resistant
p13.D5,p5.D5 no MMC,R,R,R,0,Resistant
p13.D5,p26.D6,R,R,R,0,Resistant
p13.D5,p26.D6 no MMC,R,R,R,0,Resistant
p13.D5,p23.B8,R,R,R,0,Resistant
p13.D5,p23.B8 no MMC,R,R,R,0,Resistant
p13.D5,p25.A12,R,R,R,0,Resistant
p13.D5,p25.A12 no MMC,R,R,R,0,Resistant
p13.D5,p25.A12 KO,R,R,R,0,Resistant
p13.D5,p25.A12 KO no MMC,R,R,R,0,Resistant
p13.D5,P-buffer,R,R,R,0,Resistant
p8.D11,p21.F9,R,R,R,0,Resistant
p8.D11,p21.F9 no MMC,R,R,R,0,Resistant
p8.D11,p25.C2,R,R,R,0,Resistant
p8.D11,p25.C2 no MMC,R,R,R,0,Resistant
p8.D11,p5.D5,R,R,R,0,Resistant
p8.D11,p5.D5 no MMC,R,R,R,0,Resistant
p8.D11,p26.D6,R,R,R,0,Resistant
p8.D11,p26.D6 no MMC,R,R,R,0,Resistant
p8.D11,p23.B8,R,R,R,0,Resistant
p8.D11,p23.B8 no MMC,R,R,R,0,Resistant
p8.D11,p25.A12,R,R,R,0,Resistant
p8.D11,p25.A12 no MMC,R,R,R,0,Resistant
p8.D11,p25.A12 KO,R,R,R,0,Resistant
p8.D11,p25.A12 KO no MMC,R,R,R,0,Resistant
p8.D11,P-buffer,R,R,R,0,Resistant
p8.G2,p21.F9,R,R,R,0,Resistant
p8.G2,p21.F9 no MMC,R,R,R,0,Resistant
p8.G2,p25.C2,R,R,R,0,Resistant
p8.G2,p25.C2 no MMC,R,R,R,0,Resistant
p8.G2,p5.D5,S,R,SC,5,Mostly Sensitive
p8.G2,p5.D5 no MMC,R,R,R,0,Resistant
p8.G2,p26.D6,S,O,R,4,Mostly Sensitive
p8.G2,p26.D6 no MMC,R,R,R,0,Resistant
p8.G2,p23.B8,S,O,R,4,Mostly Sensitive
p8.G2,p23.B8 no MMC,R,R,R,0,Resistant
p8.G2,p25.A12,S,SC,SC,7,Mostly Sensitive
p8.G2,p25.A12 no MMC,R,R,R,0,Resistant
p8.G2,p25.A12 KO,O,R,R,0,Resistant
p8.G2,p25.A12 KO no MMC,R,R,R,0,Resistant
p8.G2,P-buffer,R,R,R,0,Resistant
p3.G11,p21.F9,R,R,R,0,Resistant
p3.G11,p21.F9 no MMC,R,R,R,0,Resistant
p3.G11,p25.C2,R,R,R,0,Resistant
p3.G11,p25.C2 no MMC,R,R,R,0,Resistant
p3.G11,p5.D5,R,R,R,0,Resistant
p3.G11,p5.D5 no MMC,R,R,R,0,Resistant
p3.G11,p26.D6,R,R,R,0,Resistant
p3.G11,p26.D6 no MMC,R,R,R,0,Resistant
p3.G11,p23.B8,R,R,R,0,Resistant
p3.G11,p23.B8 no MMC,R,R,R,0,Resistant
p3.G11,p25.A12,R,R,R,0,Resistant
p3.G11,p25.A12 no MMC,R,R,R,0,Resistant
p3.G11,p25.A12 KO,R,R,R,0,Resistant
p3.G11,p25.A12 KO no MMC,R,R,R,0,Resistant
p3.G11,P-buffer,R,R,R,0,Resistant
DC3000,p21.F9,R,R,S,3,Partially Sensitive
DC3000,p21.F9 no MMC,R,R,R,0,Resistant
DC3000,p25.C2,R,R,R,0,Resistant
DC3000,p25.C2 no MMC,R,R,R,0,Resistant
DC3000,p5.D5,R,R,O,1,Partially Sensitive
DC3000,p5.D5 no MMC,R,R,R,0,Resistant
DC3000,p26.D6,R,O,phage,NA,
DC3000,p26.D6 no MMC,R,O,O,2,Partially Sensitive
DC3000,p23.B8,R,R,R,0,Resistant
DC3000,p23.B8 no MMC,R,R,R,0,Resistant
DC3000,p25.A12,R,S,S,6,Mostly Sensitive
DC3000,p25.A12 no MMC,R,O,SC,3,Partially Sensitive
DC3000,p25.A12 KO,R,R,R,0,Resistant
DC3000,p25.A12 KO no MMC,R,R,R,0,Resistant
DC3000,P-buffer,R,R,R,0,Resistant
p8.H7,p21.F9,R,R,S,3,Partially Sensitive
p8.H7,p21.F9 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p25.C2,R,R,S,3,Partially Sensitive
p8.H7,p25.C2 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p5.D5,R,R,S,3,Partially Sensitive
p8.H7,p5.D5 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p26.D6,R,O,S,4,Mostly Sensitive
p8.H7,p26.D6 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p23.B8,R,O,S,4,Mostly Sensitive
p8.H7,p23.B8 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p25.A12,R,O,S,4,Mostly Sensitive
p8.H7,p25.A12 no MMC,R,R,S,3,Partially Sensitive
p8.H7,p25.A12 KO,R,R,R,0,Resistant
p8.H7,p25.A12 KO no MMC,R,R,R,0,Resistant
p8.H7,P-buffer,R,R,R,0,Resistant
p12.F2,p21.F9,SC,R,S,5,Mostly Sensitive
p12.F2,p21.F9 no MMC,R,R,R,0,Resistant
p12.F2,p25.C2,SC,R,S,5,Mostly Sensitive
p12.F2,p25.C2 no MMC,R,R,R,0,Resistant
p12.F2,p5.D5,SC,R,S,5,Mostly Sensitive
p12.F2,p5.D5 no MMC,R,R,R,0,Resistant
p12.F2,p26.D6,phage,phage,phage,NA,
p12.F2,p26.D6 no MMC,R,R,S,3,Partially Sensitive
p12.F2,p23.B8,SC,R,O,3,Partially Sensitive
p12.F2,p23.B8 no MMC,R,R,R,0,Resistant
p12.F2,p25.A12,phage,S,S,6,Mostly Sensitive
p12.F2,p25.A12 no MMC,R,O,O,2,Partially Sensitive
p12.F2,p25.A12 KO,SC,R,R,2,Partially Sensitive
p12.F2,p25.A12 KO no MMC,R,R,R,0,Resistant
p12.F2,P-buffer,R,R,R,0,Resistant
p12.A9,p21.F9,R,R,O,1,Partially Sensitive
p12.A9,p21.F9 no MMC,R,R,R,0,Resistant
p12.A9,p25.C2,R,R,O,1,Partially Sensitive
p12.A9,p25.C2 no MMC,R,R,R,0,Resistant
p12.A9,p5.D5,R,R,O,1,Partially Sensitive
p12.A9,p5.D5 no MMC,R,R,O,1,Partially Sensitive
p12.A9,p26.D6,R,R,O,1,Partially Sensitive
p12.A9,p26.D6 no MMC,R,R,O,1,Partially Sensitive
p12.A9,p23.B8,R,R,R,0,Resistant
p12.A9,p23.B8 no MMC,R,R,O,1,Partially Sensitive
p12.A9,p25.A12,R,R,R,0,Resistant
p12.A9,p25.A12 no MMC,R,R,R,0,Resistant
p12.A9,p25.A12 KO,R,R,R,0,Resistant
p12.A9,p25.A12 KO no MMC,R,R,R,0,Resistant
p12.A9,P-buffer,R,R,R,0,Resistant
p8.G10,p21.F9,R,R,R,0,Resistant
p8.G10,p21.F9 no MMC,R,R,R,0,Resistant
p8.G10,p25.C2,R,R,R,0,Resistant
p8.G10,p25.C2 no MMC,R,R,R,0,Resistant
p8.G10,p5.D5,R,R,R,0,Resistant
p8.G10,p5.D5 no MMC,R,R,R,0,Resistant
p8.G10,p26.D6,R,R,R,0,Resistant
p8.G10,p26.D6 no MMC,R,R,R,0,Resistant
p8.G10,p23.B8,R,R,R,0,Resistant
p8.G10,p23.B8 no MMC,R,R,R,0,Resistant
p8.G10,p25.A12,R,R,R,0,Resistant
p8.G10,p25.A12 no MMC,R,R,R,0,Resistant
p8.G10,p25.A12 KO,R,R,R,0,Resistant
p8.G10,p25.A12 KO no MMC,R,R,R,0,Resistant
p8.G10,P-buffer,R,R,R,0,Resistant
p6.D10,p21.F9,R,R,R,0,Resistant
p6.D10,p21.F9 no MMC,R,R,R,0,Resistant
p6.D10,p25.C2,R,R,R,0,Resistant
p6.D10,p25.C2 no MMC,R,R,R,0,Resistant
p6.D10,p5.D5,R,R,R,0,Resistant
p6.D10,p5.D5 no MMC,R,R,R,0,Resistant
p6.D10,p26.D6,R,R,R,0,Resistant
p6.D10,p26.D6 no MMC,R,R,R,0,Resistant
p6.D10,p23.B8,R,R,R,0,Resistant
p6.D10,p23.B8 no MMC,R,R,R,0,Resistant
p6.D10,p25.A12,R,R,R,0,Resistant
p6.D10,p25.A12 no MMC,R,R,R,0,Resistant
p6.D10,p25.A12 KO,R,R,R,0,Resistant
p6.D10,p25.A12 KO no MMC,R,R,R,0,Resistant
p6.D10,P-buffer,R,R,R,0,Resistant
p23.A5,p21.F9,O,R,R,1,Partially Sensitive
p23.A5,p21.F9 no MMC,R,R,R,0,Resistant
p23.A5,p25.C2,O,O,R,2,Partially Sensitive
p23.A5,p25.C2 no MMC,R,R,R,0,Resistant
p23.A5,p5.D5,SC,O,R,3,Partially Sensitive
p23.A5,p5.D5 no MMC,R,R,R,0,Resistant
p23.A5,p26.D6,SC,O,R,3,Partially Sensitive
p23.A5,p26.D6 no MMC,R,R,R,0,Resistant
p23.A5,p23.B8,SC,O,R,3,Partially Sensitive
p23.A5,p23.B8 no MMC,R,R,R,0,Resistant
p23.A5,p25.A12,SC,O,R,3,Partially Sensitive
p23.A5,p25.A12 no MMC,R,R,R,0,Resistant
p23.A5,p25.A12 KO,O,R,R,1,Partially Sensitive
p23.A5,p25.A12 KO no MMC,R,R,R,0,Resistant
p23.A5,P-buffer,R,R,R,0,Resistant
p23.B4,p21.F9,S,S,O,7,Sensitive
p23.B4,p21.F9 no MMC,R,S,R,3,Partially Sensitive
p23.B4,p25.C2,S,S,O,7,Sensitive
p23.B4,p25.C2 no MMC,R,R,R,0,Resistant
p23.B4,p5.D5,S,S,O,7,Sensitive
p23.B4,p5.D5 no MMC,R,SC,R,2,Partially Sensitive
p23.B4,p26.D6,S,S,O,7,Sensitive
p23.B4,p26.D6 no MMC,R,SC,R,2,Partially Sensitive
p23.B4,p23.B8,S,S,O,7,Sensitive
p23.B4,p23.B8 no MMC,R,SC,R,2,Partially Sensitive
p23.B4,p25.A12,S,S,R,6,Mostly Sensitive
p23.B4,p25.A12 no MMC,R,R,R,0,Resistant
p23.B4,p25.A12 KO,S,R,R,3,Partially Sensitive
p23.B4,p25.A12 KO no MMC,R,R,R,0,Resistant
p23.B4,P-buffer,R,R,R,0,Resistant
p23.B8,p21.F9,S,S,R,6,Mostly Sensitive
p23.B8,p21.F9 no MMC,S,S,R,6,Mostly Sensitive
p23.B8,p25.C2,S,S,R,6,Mostly Sensitive
p23.B8,p25.C2 no MMC,R,SC,R,2,Partially Sensitive
p23.B8,p5.D5,S,S,R,6,Mostly Sensitive
p23.B8,p5.D5 no MMC,S,S,R,6,Mostly Sensitive
p23.B8,p26.D6,S,S,R,6,Mostly Sensitive
p23.B8,p26.D6 no MMC,S,S,R,6,Mostly Sensitive
p23.B8,p23.B8,S,S,R,6,Mostly Sensitive
p23.B8,p23.B8 no MMC,R,S,R,3,Partially Sensitive
p23.B8,p25.A12,S,S,S,9,Sensitive
p23.B8,p25.A12 no MMC,S,SC,O,6,Mostly Sensitive
p8.C7,p21.F9,NA,O,S,4,Mostly Sensitive
p8.C7,p21.F9 no MMC,NA,O,S,4,Mostly Sensitive
p8.C7,p25.C2,NA,O,S,4,Mostly Sensitive
p8.C7,p25.C2 no MMC,NA,R,S,3,Partially Sensitive
p8.C7,p5.D5,NA,SC,S,5,Mostly Sensitive
p8.C7,p5.D5 no MMC,NA,O,S,4,Mostly Sensitive
p8.C7,p26.D6,NA,SC,S,5,Mostly Sensitive
p8.C7,p26.D6 no MMC,NA,R,S,3,Partially Sensitive
p8.C7,p23.B8,NA,S,S,6,Mostly Sensitive
p8.C7,p23.B8 no MMC,NA,R,S,3,Partially Sensitive
p8.C7,p25.A12,NA,S,S,6,Mostly Sensitive
p8.C7,p25.A12 no MMC,NA,R,S,3,Partially Sensitive
p8.C7,p25.A12 KO,NA,R,R,0,Resistant
p8.C7,p25.A12 KO no MMC,NA,R,R,0,Resistant
p8.C7,P-buffer,NA,R,R,0,Resistant
