Strain,HP12_haplotype
444444_p26.F8,"p23.B3, 36 strains"
484484_p27.B3,"p23.B3, 36 strains"
523523_p23.B3,"p23.B3, 36 strains"
525525_p3.H9,"p23.B3, 36 strains"
556556_p27.H4,"p23.B3, 36 strains"
571571_p12.H8,"p23.B3, 36 strains"
593593_p23.H2,"p23.B3, 36 strains"
618618_p23.G6,"p23.B3, 36 strains"
624624_p26.G10,"p23.B3, 36 strains"
629629_p8.G6,"p23.B3, 36 strains"
673673_p12.F1,"p23.B3, 36 strains"
684684_p27.B2,"p23.B3, 36 strains"
740740_p23.A8,"p23.B3, 36 strains"
747747_p27.F2,"p23.B3, 36 strains"
1616_p12.E4,"p12.E4, 38 strains"
1717_p8.A11,"p12.E4, 38 strains"
2323_p6.H11,"p12.E4, 38 strains"
2828_p13.F4,"p12.E4, 38 strains"
3232_p4.B1,"p12.E4, 38 strains"
3939_p2.A11,"p12.E4, 38 strains"
6363_p7.D12,"p12.E4, 38 strains"
8787_p13.E4,"p12.E4, 38 strains"
9191_p3.F1,"p12.E4, 38 strains"
119119_p6.B1,"p12.E4, 38 strains"
128128_p8.C4,"p12.E4, 38 strains"
129129_p1.E5,"p12.E4, 38 strains"
141141_p9.F4,"p12.E4, 38 strains"
143143_p3.G9,"p12.E4, 38 strains"
153153_p8.A2,"p12.E4, 38 strains"
194194_p11.A9,"p12.E4, 38 strains"
231231_p9.E4,"p12.E4, 38 strains"
238238_p13.F12,"p12.E4, 38 strains"
279279_p5.G9,"p12.E4, 38 strains"
314314_p11.C12,"p12.E4, 38 strains"
328328_p6.A11,"p12.E4, 38 strains"
343343_p12.G7,"p12.E4, 38 strains"
346346_p4.A11,"p12.E4, 38 strains"
347347_p6.C1,"p12.E4, 38 strains"
351351_p2.C1,"p12.E4, 38 strains"
355355_p8.A10,"p12.E4, 38 strains"
434434_p3.E5,"p12.E4, 38 strains"
439439_p11.A10,"p12.E4, 38 strains"
451451_p3.F5,"p12.E4, 38 strains"
495495_p7.E4,"p12.E4, 38 strains"
506506_p11.A12,"p12.E4, 38 strains"
567567_p8.C1,"p12.E4, 38 strains"
581581_p3.F2,"p12.E4, 38 strains"
586586_p1.E1,"p12.E4, 38 strains"
600600_p11.C4,"p12.E4, 38 strains"
603603_p7.F4,"p12.E4, 38 strains"
619619_p11.B12,"p12.E4, 38 strains"
775775_p2.B1,"p12.E4, 38 strains"
7676_p25.D12,"p25.A12, 19 strains"
131131_p21.C12,"p25.A12, 19 strains"
135135_p25.B12,"p25.A12, 19 strains"
142142_p2.D3,"p25.A12, 19 strains"
172172_p21.E12,"p25.A12, 19 strains"
213213_p25.A12,"p25.A12, 19 strains"
294294_p25.C12,"p25.A12, 19 strains"
366366_p21.F12,"p25.A12, 19 strains"
455455_p21.H12,"p25.A12, 19 strains"
514514_p21.G12,"p25.A12, 19 strains"
551551_p25.F12,"p25.A12, 19 strains"
584584_p13.G1,"p25.A12, 19 strains"
622622_p25.G12,"p25.A12, 19 strains"
665665_p21.A12,"p25.A12, 19 strains"
688688_p25.H12,"p25.A12, 19 strains"
708708_p25.E12,"p25.A12, 19 strains"
736736_p21.B12,"p25.A12, 19 strains"
758758_p9.E6,"p25.A12, 19 strains"
768768_p8.E4,"p25.A12, 19 strains"
p9.F2,"p21.F9, 460 strains (truncated)"
p13.C2,"p21.F9, 460 strains (truncated)"
p12.E10,"p21.F9, 460 strains (truncated)"
p24.C3,"p21.F9, 460 strains (truncated)"
p13.E7,"p21.F9, 460 strains (truncated)"
p3.F10,"p21.F9, 460 strains (truncated)"
p22.G4,"p21.F9, 460 strains (truncated)"
p11.A7,"p21.F9, 460 strains (truncated)"
p22.H4,"p21.F9, 460 strains (truncated)"
p25.A7,"p21.F9, 460 strains (truncated)"
p6.E6,"p21.F9, 460 strains (truncated)"
p3.D1,"p21.F9, 460 strains (truncated)"
p21.A8,"p21.F9, 460 strains (truncated)"
p2.F9,"p21.F9, 460 strains (truncated)"
p6.D8,"p21.F9, 460 strains (truncated)"
p25.B9,"p21.F9, 460 strains (truncated)"
p13.E11,"p21.F9, 460 strains (truncated)"
p20.E9,"p21.F9, 460 strains (truncated)"
p11.F6,"p21.F9, 460 strains (truncated)"
p25.H3,"p21.F9, 460 strains (truncated)"
p5.D3,"p21.F9, 460 strains (truncated)"
p7.B4,"p21.F9, 460 strains (truncated)"
p21.G11,"p21.F9, 460 strains (truncated)"
p9.E3,"p21.F9, 460 strains (truncated)"
p20.D11,"p21.F9, 460 strains (truncated)"
p21.H11,"p21.F9, 460 strains (truncated)"
p1.B10,"p21.F9, 460 strains (truncated)"
p25.E8,"p21.F9, 460 strains (truncated)"
p7.F7,"p21.F9, 460 strains (truncated)"
p12.C2,"p21.F9, 460 strains (truncated)"
p26.H5,"p21.F9, 460 strains (truncated)"
p26.G1,"p21.F9, 460 strains (truncated)"
p8.D6,"p21.F9, 460 strains (truncated)"
p20.F9,"p21.F9, 460 strains (truncated)"
p24.D9,"p21.F9, 460 strains (truncated)"
p8.D1,"p21.F9, 460 strains (truncated)"
p25.G8,"p21.F9, 460 strains (truncated)"
p2.D6,"p21.F9, 460 strains (truncated)"
p20.B11,"p21.F9, 460 strains (truncated)"
p25.G11,"p21.F9, 460 strains (truncated)"
p13.H6,"p21.F9, 460 strains (truncated)"
p21.E11,"p21.F9, 460 strains (truncated)"
p11.D6,"p21.F9, 460 strains (truncated)"
p21.F9,"p21.F9, 460 strains (truncated)"
p6.E8,"p21.F9, 460 strains (truncated)"
p13.E10,"p21.F9, 460 strains (truncated)"
p7.C2,"p21.F9, 460 strains (truncated)"
p6.F10,"p21.F9, 460 strains (truncated)"
p25.E11,"p21.F9, 460 strains (truncated)"
p22.E5,"p21.F9, 460 strains (truncated)"
p5.A12,"p21.F9, 460 strains (truncated)"
p25.F11,"p21.F9, 460 strains (truncated)"
p1.F4,"p21.F9, 460 strains (truncated)"
p24.D11,"p21.F9, 460 strains (truncated)"
p25.B7,"p21.F9, 460 strains (truncated)"
p2.E9,"p21.F9, 460 strains (truncated)"
p5.F7,"p21.F9, 460 strains (truncated)"
p26.F1,"p21.F9, 460 strains (truncated)"
p20.C11,"p21.F9, 460 strains (truncated)"
p9.B11,"p21.F9, 460 strains (truncated)"
p25.C11,"p21.F9, 460 strains (truncated)"
p1.F7,"p21.F9, 460 strains (truncated)"
p26.B6,"p21.F9, 460 strains (truncated)"
p6.F3,"p21.F9, 460 strains (truncated)"
p5.F10,"p21.F9, 460 strains (truncated)"
p3.E8,"p21.F9, 460 strains (truncated)"
p7.G6,"p21.F9, 460 strains (truncated)"
p2.G4,"p21.F9, 460 strains (truncated)"
p26.E5,"p21.F9, 460 strains (truncated)"
p5.E11,"p21.F9, 460 strains (truncated)"
p26.C5,"p21.F9, 460 strains (truncated)"
p1.E3,"p21.F9, 460 strains (truncated)"
p21.B8,"p21.F9, 460 strains (truncated)"
p11.D9,"p21.F9, 460 strains (truncated)"
p26.D5,"p21.F9, 460 strains (truncated)"
p20.G10,"p21.F9, 460 strains (truncated)"
p1.A10,"p21.F9, 460 strains (truncated)"
p24.F9,"p21.F9, 460 strains (truncated)"
p2.E2,"p21.F9, 460 strains (truncated)"
p7.F6,"p21.F9, 460 strains (truncated)"
p22.B5,"p21.F9, 460 strains (truncated)"
p20.H9,"p21.F9, 460 strains (truncated)"
p21.H7,"p21.F9, 460 strains (truncated)"
p5.G1,"p21.F9, 460 strains (truncated)"
p1.F8,"p21.F9, 460 strains (truncated)"
p21.H9,"p21.F9, 460 strains (truncated)"
p8.F5,"p21.F9, 460 strains (truncated)"
p3.A10,"p21.F9, 460 strains (truncated)"
p7.E11,"p21.F9, 460 strains (truncated)"
p6.A8,"p21.F9, 460 strains (truncated)"
p12.A11,"p21.F9, 460 strains (truncated)"
p2.F12,"p21.F9, 460 strains (truncated)"
p20.H12,"p21.F9, 460 strains (truncated)"
p7.D10,"p21.F9, 460 strains (truncated)"
p11.D8,"p21.F9, 460 strains (truncated)"
p22.D3,"p21.F9, 460 strains (truncated)"
p24.F2,"p21.F9, 460 strains (truncated)"
p5.G7,"p21.F9, 460 strains (truncated)"
p8.E7,"p21.F9, 460 strains (truncated)"
p3.C9,"p21.F9, 460 strains (truncated)"
p24.C12,"p21.F9, 460 strains (truncated)"
p9.A11,"p21.F9, 460 strains (truncated)"
p26.A1,"p21.F9, 460 strains (truncated)"
p20.C9,"p21.F9, 460 strains (truncated)"
p21.A5,"p21.F9, 460 strains (truncated)"
p9.F3,"p21.F9, 460 strains (truncated)"
p21.D9,"p21.F9, 460 strains (truncated)"
p21.F3,"p21.F9, 460 strains (truncated)"
p24.C11,"p21.F9, 460 strains (truncated)"
p25.D5,"p21.F9, 460 strains (truncated)"
p5.E3,"p21.F9, 460 strains (truncated)"
p24.F3,"p21.F9, 460 strains (truncated)"
p2.E6,"p21.F9, 460 strains (truncated)"
p11.C11,"p21.F9, 460 strains (truncated)"
p21.H3,"p21.F9, 460 strains (truncated)"
p3.B10,"p21.F9, 460 strains (truncated)"
p4.C1,"p21.F9, 460 strains (truncated)"
p2.F5,"p21.F9, 460 strains (truncated)"
p24.G11,"p21.F9, 460 strains (truncated)"
p25.G5,"p21.F9, 460 strains (truncated)"
p5.D2,"p21.F9, 460 strains (truncated)"
p1.E8,"p21.F9, 460 strains (truncated)"
p5.F3,"p21.F9, 460 strains (truncated)"
p25.B1,"p21.F9, 460 strains (truncated)"
p12.F10,"p21.F9, 460 strains (truncated)"
p22.D1,"p21.F9, 460 strains (truncated)"
p7.E5,"p21.F9, 460 strains (truncated)"
p20.E11,"p21.F9, 460 strains (truncated)"
p6.F9,"p21.F9, 460 strains (truncated)"
p25.B3,"p21.F9, 460 strains (truncated)"
p3.H1,"p21.F9, 460 strains (truncated)"
p24.E3,"p21.F9, 460 strains (truncated)"
p1.G11,"p21.F9, 460 strains (truncated)"
p26.E4,"p21.F9, 460 strains (truncated)"
p21.B9,"p21.F9, 460 strains (truncated)"
p25.E2,"p21.F9, 460 strains (truncated)"
p24.C9,"p21.F9, 460 strains (truncated)"
p7.D2,"p21.F9, 460 strains (truncated)"
p4.D9,"p21.F9, 460 strains (truncated)"
p25.H7,"p21.F9, 460 strains (truncated)"
p8.E6,"p21.F9, 460 strains (truncated)"
p24.C10,"p21.F9, 460 strains (truncated)"
p5.H5,"p21.F9, 460 strains (truncated)"
p25.C7,"p21.F9, 460 strains (truncated)"
p21.B11,"p21.F9, 460 strains (truncated)"
p12.F3,"p21.F9, 460 strains (truncated)"
p12.B11,"p21.F9, 460 strains (truncated)"
p9.E7,"p21.F9, 460 strains (truncated)"
p13.D1,"p21.F9, 460 strains (truncated)"
p25.E7,"p21.F9, 460 strains (truncated)"
p21.G5,"p21.F9, 460 strains (truncated)"
p1.D5,"p21.F9, 460 strains (truncated)"
p21.F7,"p21.F9, 460 strains (truncated)"
p21.F8,"p21.F9, 460 strains (truncated)"
p9.A9,"p21.F9, 460 strains (truncated)"
p25.C5,"p21.F9, 460 strains (truncated)"
p3.D2,"p21.F9, 460 strains (truncated)"
p3.F7,"p21.F9, 460 strains (truncated)"
p9.D2,"p21.F9, 460 strains (truncated)"
p13.E3,"p21.F9, 460 strains (truncated)"
p2.D7,"p21.F9, 460 strains (truncated)"
p24.E2,"p21.F9, 460 strains (truncated)"
p25.F7,"p21.F9, 460 strains (truncated)"
p13.A11,"p21.F9, 460 strains (truncated)"
p20.D10,"p21.F9, 460 strains (truncated)"
p26.G4,"p21.F9, 460 strains (truncated)"
p4.E8,"p21.F9, 460 strains (truncated)"
p21.C7,"p21.F9, 460 strains (truncated)"
p11.F10,"p21.F9, 460 strains (truncated)"
p21.C3,"p21.F9, 460 strains (truncated)"
p24.E10,"p21.F9, 460 strains (truncated)"
p6.D6,"p21.F9, 460 strains (truncated)"
p20.G9,"p21.F9, 460 strains (truncated)"
p1.C2,"p21.F9, 460 strains (truncated)"
p13.F10,"p21.F9, 460 strains (truncated)"
p22.C7,"p21.F9, 460 strains (truncated)"
p5.B11,"p21.F9, 460 strains (truncated)"
p8.F11,"p21.F9, 460 strains (truncated)"
p3.C3,"p21.F9, 460 strains (truncated)"
p9.F10,"p21.F9, 460 strains (truncated)"
p12.E6,"p21.F9, 460 strains (truncated)"
p25.E9,"p21.F9, 460 strains (truncated)"
p8.E1,"p21.F9, 460 strains (truncated)"
p9.D1,"p21.F9, 460 strains (truncated)"
p20.D12,"p21.F9, 460 strains (truncated)"
p21.H5,"p21.F9, 460 strains (truncated)"
p21.A9,"p21.F9, 460 strains (truncated)"
p20.D3,"p21.F9, 460 strains (truncated)"
p20.A3,"p21.F9, 460 strains (truncated)"
p6.G5,"p21.F9, 460 strains (truncated)"
p26.C1,"p21.F9, 460 strains (truncated)"
p22.F4,"p21.F9, 460 strains (truncated)"
p2.A8,"p21.F9, 460 strains (truncated)"
p9.G5,"p21.F9, 460 strains (truncated)"
p21.G8,"p21.F9, 460 strains (truncated)"
p6.F4,"p21.F9, 460 strains (truncated)"
p1.G1,"p21.F9, 460 strains (truncated)"
p11.B11,"p21.F9, 460 strains (truncated)"
p25.A8,"p21.F9, 460 strains (truncated)"
p9.H2,"p21.F9, 460 strains (truncated)"
p25.D11,"p21.F9, 460 strains (truncated)"
p25.C3,"p21.F9, 460 strains (truncated)"
p1.A12,"p21.F9, 460 strains (truncated)"
p7.H5,"p21.F9, 460 strains (truncated)"
p21.G9,"p21.F9, 460 strains (truncated)"
p2.A7,"p21.F9, 460 strains (truncated)"
p7.A12,"p21.F9, 460 strains (truncated)"
p4.D8,"p21.F9, 460 strains (truncated)"
p12.E11,"p21.F9, 460 strains (truncated)"
p1.F3,"p21.F9, 460 strains (truncated)"
p24.G12,"p21.F9, 460 strains (truncated)"
p13.E6,"p21.F9, 460 strains (truncated)"
p20.F12,"p21.F9, 460 strains (truncated)"
p3.A12,"p21.F9, 460 strains (truncated)"
p9.E10,"p21.F9, 460 strains (truncated)"
p9.C2,"p21.F9, 460 strains (truncated)"
p25.D3,"p21.F9, 460 strains (truncated)"
p25.D9,"p21.F9, 460 strains (truncated)"
p12.D12,"p21.F9, 460 strains (truncated)"
p2.F4,"p21.F9, 460 strains (truncated)"
p26.D1,"p21.F9, 460 strains (truncated)"
p26.D4,"p21.F9, 460 strains (truncated)"
p21.G3,"p21.F9, 460 strains (truncated)"
p3.D9,"p21.F9, 460 strains (truncated)"
p22.A7,"p21.F9, 460 strains (truncated)"
p5.F4,"p21.F9, 460 strains (truncated)"
p4.F9,"p21.F9, 460 strains (truncated)"
p20.C12,"p21.F9, 460 strains (truncated)"
p11.E6,"p21.F9, 460 strains (truncated)"
p13.F11,"p21.F9, 460 strains (truncated)"
p2.E7,"p21.F9, 460 strains (truncated)"
p5.H6,"p21.F9, 460 strains (truncated)"
p21.B3,"p21.F9, 460 strains (truncated)"
p24.A3,"p21.F9, 460 strains (truncated)"
p21.D11,"p21.F9, 460 strains (truncated)"
p9.H5,"p21.F9, 460 strains (truncated)"
p25.H9,"p21.F9, 460 strains (truncated)"
p20.E3,"p21.F9, 460 strains (truncated)"
p5.E8,"p21.F9, 460 strains (truncated)"
p25.A11,"p21.F9, 460 strains (truncated)"
p7.C12,"p21.F9, 460 strains (truncated)"
p20.E12,"p21.F9, 460 strains (truncated)"
p1.D1,"p21.F9, 460 strains (truncated)"
p13.B9,"p21.F9, 460 strains (truncated)"
p24.H11,"p21.F9, 460 strains (truncated)"
p21.E3,"p21.F9, 460 strains (truncated)"
p5.C1,"p21.F9, 460 strains (truncated)"
p13.A10,"p21.F9, 460 strains (truncated)"
p24.B10,"p21.F9, 460 strains (truncated)"
p21.A7,"p21.F9, 460 strains (truncated)"
p26.B1,"p21.F9, 460 strains (truncated)"
p13.D2,"p21.F9, 460 strains (truncated)"
p20.G12,"p21.F9, 460 strains (truncated)"
p20.A11,"p21.F9, 460 strains (truncated)"
p20.H11,"p21.F9, 460 strains (truncated)"
p20.G11,"p21.F9, 460 strains (truncated)"
p9.E2,"p21.F9, 460 strains (truncated)"
p1.A11,"p21.F9, 460 strains (truncated)"
p7.C1,"p21.F9, 460 strains (truncated)"
p8.D5,"p21.F9, 460 strains (truncated)"
p1.G5,"p21.F9, 460 strains (truncated)"
p12.F11,"p21.F9, 460 strains (truncated)"
p12.G1,"p21.F9, 460 strains (truncated)"
p7.E6,"p21.F9, 460 strains (truncated)"
p2.F11,"p21.F9, 460 strains (truncated)"
p2.H5,"p21.F9, 460 strains (truncated)"
p21.B7,"p21.F9, 460 strains (truncated)"
p3.H5,"p21.F9, 460 strains (truncated)"
p21.D8,"p21.F9, 460 strains (truncated)"
p22.A5,"p21.F9, 460 strains (truncated)"
p7.E9,"p21.F9, 460 strains (truncated)"
p1.F5,"p21.F9, 460 strains (truncated)"
p6.D3,"p21.F9, 460 strains (truncated)"
p24.A1,"p21.F9, 460 strains (truncated)"
p24.A9,"p21.F9, 460 strains (truncated)"
p21.C8,"p21.F9, 460 strains (truncated)"
p26.H1,"p21.F9, 460 strains (truncated)"
p20.H10,"p21.F9, 460 strains (truncated)"
p12.C8,"p21.F9, 460 strains (truncated)"
p7.A10,"p21.F9, 460 strains (truncated)"
p26.A4,"p21.F9, 460 strains (truncated)"
p7.B11,"p21.F9, 460 strains (truncated)"
p20.C10,"p21.F9, 460 strains (truncated)"
p2.E3,"p21.F9, 460 strains (truncated)"
p24.A11,"p21.F9, 460 strains (truncated)"
p11.E8,"p21.F9, 460 strains (truncated)"
p20.F10,"p21.F9, 460 strains (truncated)"
p9.E11,"p21.F9, 460 strains (truncated)"
p25.B11,"p21.F9, 460 strains (truncated)"
p24.B9,"p21.F9, 460 strains (truncated)"
p12.E3,"p21.F9, 460 strains (truncated)"
p2.D8,"p21.F9, 460 strains (truncated)"
p26.A7,"p21.F9, 460 strains (truncated)"
p6.H7,"p21.F9, 460 strains (truncated)"
p6.D7,"p21.F9, 460 strains (truncated)"
p20.G3,"p21.F9, 460 strains (truncated)"
p24.E12,"p21.F9, 460 strains (truncated)"
p21.D7,"p21.F9, 460 strains (truncated)"
p9.G6,"p21.F9, 460 strains (truncated)"
p22.H1,"p21.F9, 460 strains (truncated)"
p20.E10,"p21.F9, 460 strains (truncated)"
p24.B3,"p21.F9, 460 strains (truncated)"
p26.G5,"p21.F9, 460 strains (truncated)"
p5.C3,"p21.F9, 460 strains (truncated)"
p6.H8,"p21.F9, 460 strains (truncated)"
p22.F1,"p21.F9, 460 strains (truncated)"
p21.E9,"p21.F9, 460 strains (truncated)"
p8.F4,"p21.F9, 460 strains (truncated)"
p8.F3,"p21.F9, 460 strains (truncated)"
p25.D8,"p21.F9, 460 strains (truncated)"
p2.D2,"p21.F9, 460 strains (truncated)"
p26.F5,"p21.F9, 460 strains (truncated)"
p12.E7,"p21.F9, 460 strains (truncated)"
p24.H10,"p21.F9, 460 strains (truncated)"
p3.B11,"p21.F9, 460 strains (truncated)"
p5.G5,"p21.F9, 460 strains (truncated)"
p11.F8,"p21.F9, 460 strains (truncated)"
p5.A11,"p21.F9, 460 strains (truncated)"
p21.A11,"p21.F9, 460 strains (truncated)"
p8.E8,"p21.F9, 460 strains (truncated)"
p20.B12,"p21.F9, 460 strains (truncated)"
p24.D2,"p21.F9, 460 strains (truncated)"
p21.C9,"p21.F9, 460 strains (truncated)"
p25.B5,"p21.F9, 460 strains (truncated)"
p25.D7,"p21.F9, 460 strains (truncated)"
p24.B12,"p21.F9, 460 strains (truncated)"
p21.G7,"p21.F9, 460 strains (truncated)"
p8.A5,"p21.F9, 460 strains (truncated)"
p8.H8,"p21.F9, 460 strains (truncated)"
p25.C9,"p21.F9, 460 strains (truncated)"
p22.E4,"p21.F9, 460 strains (truncated)"
p2.E1,"p21.F9, 460 strains (truncated)"
p26.H4,"p21.F9, 460 strains (truncated)"
p6.E1,"p21.F9, 460 strains (truncated)"
p5.E4,"p21.F9, 460 strains (truncated)"
p7.E3,"p21.F9, 460 strains (truncated)"
p22.C3,"p21.F9, 460 strains (truncated)"
p9.G7,"p21.F9, 460 strains (truncated)"
p25.G9,"p21.F9, 460 strains (truncated)"
p2.F10,"p21.F9, 460 strains (truncated)"
p22.B1,"p21.F9, 460 strains (truncated)"
p26.F4,"p21.F9, 460 strains (truncated)"
p25.B8,"p21.F9, 460 strains (truncated)"
p12.D1,"p21.F9, 460 strains (truncated)"
p25.F8,"p21.F9, 460 strains (truncated)"
p22.G1,"p21.F9, 460 strains (truncated)"
p21.A3,"p21.F9, 460 strains (truncated)"
p7.D3,"p21.F9, 460 strains (truncated)"
p24.G3,"p21.F9, 460 strains (truncated)"
p9.F6,"p21.F9, 460 strains (truncated)"
p12.F2,"p21.F9, 460 strains (truncated)"
p25.A3,"p21.F9, 460 strains (truncated)"
p6.F11,"p21.F9, 460 strains (truncated)"
p4.G8,"p21.F9, 460 strains (truncated)"
p7.G5,"p21.F9, 460 strains (truncated)"
p1.B12,"p21.F9, 460 strains (truncated)"
p4.F5,"p21.F9, 460 strains (truncated)"
p12.F6,"p21.F9, 460 strains (truncated)"
p22.G5,"p21.F9, 460 strains (truncated)"
p11.A11,"p21.F9, 460 strains (truncated)"
p6.F12,"p21.F9, 460 strains (truncated)"
p1.H1,"p21.F9, 460 strains (truncated)"
p13.B10,"p21.F9, 460 strains (truncated)"
p21.D5,"p21.F9, 460 strains (truncated)"
p12.H5,"p21.F9, 460 strains (truncated)"
p24.E9,"p21.F9, 460 strains (truncated)"
p24.H3,"p21.F9, 460 strains (truncated)"
p9.B9,"p21.F9, 460 strains (truncated)"
p25.A9,"p21.F9, 460 strains (truncated)"
p24.B11,"p21.F9, 460 strains (truncated)"
p22.A8,"p21.F9, 460 strains (truncated)"
p22.B7,"p21.F9, 460 strains (truncated)"
p13.F2,"p21.F9, 460 strains (truncated)"
p5.H1,"p21.F9, 460 strains (truncated)"
p21.H8,"p21.F9, 460 strains (truncated)"
p8.F12,"p21.F9, 460 strains (truncated)"
p9.C1,"p21.F9, 460 strains (truncated)"
p22.B3,"p21.F9, 460 strains (truncated)"
p8.D8,"p21.F9, 460 strains (truncated)"
p4.F10,"p21.F9, 460 strains (truncated)"
p24.E11,"p21.F9, 460 strains (truncated)"
p24.F11,"p21.F9, 460 strains (truncated)"
p7.F3,"p21.F9, 460 strains (truncated)"
p6.E3,"p21.F9, 460 strains (truncated)"
p22.A1,"p21.F9, 460 strains (truncated)"
p8.F10,"p21.F9, 460 strains (truncated)"
p7.F10,"p21.F9, 460 strains (truncated)"
p13.D12,"p21.F9, 460 strains (truncated)"
p24.F12,"p21.F9, 460 strains (truncated)"
p12.C9,"p21.F9, 460 strains (truncated)"
p4.F12,"p21.F9, 460 strains (truncated)"
p3.E11,"p21.F9, 460 strains (truncated)"
p4.D6,"p21.F9, 460 strains (truncated)"
p26.A8,"p21.F9, 460 strains (truncated)"
p25.H11,"p21.F9, 460 strains (truncated)"
p4.D1,"p21.F9, 460 strains (truncated)"
p4.F11,"p21.F9, 460 strains (truncated)"
p21.D3,"p21.F9, 460 strains (truncated)"
p1.C3,"p21.F9, 460 strains (truncated)"
p3.C2,"p21.F9, 460 strains (truncated)"
p26.E1,"p21.F9, 460 strains (truncated)"
p22.F5,"p21.F9, 460 strains (truncated)"
p11.E7,"p21.F9, 460 strains (truncated)"
p3.E7,"p21.F9, 460 strains (truncated)"
p25.F9,"p21.F9, 460 strains (truncated)"
p2.E8,"p21.F9, 460 strains (truncated)"
p6.F5,"p21.F9, 460 strains (truncated)"
p1.D2,"p21.F9, 460 strains (truncated)"
p11.D1,"p21.F9, 460 strains (truncated)"
p24.D3,"p21.F9, 460 strains (truncated)"
p26.C4,"p21.F9, 460 strains (truncated)"
p13.F7,"p21.F9, 460 strains (truncated)"
p20.A12,"p21.F9, 460 strains (truncated)"
p25.F5,"p21.F9, 460 strains (truncated)"
p21.E8,"p21.F9, 460 strains (truncated)"
p22.E1,"p21.F9, 460 strains (truncated)"
p9.F5,"p21.F9, 460 strains (truncated)"
p22.H5,"p21.F9, 460 strains (truncated)"
p25.G3,"p21.F9, 460 strains (truncated)"
p1.E4,"p21.F9, 460 strains (truncated)"
p1.B11,"p21.F9, 460 strains (truncated)"
p22.C5,"p21.F9, 460 strains (truncated)"
p5.E7,"p21.F9, 460 strains (truncated)"
p3.G1,"p21.F9, 460 strains (truncated)"
p20.F3,"p21.F9, 460 strains (truncated)"
p12.H6,"p21.F9, 460 strains (truncated)"
p24.H9,"p21.F9, 460 strains (truncated)"
p9.F11,"p21.F9, 460 strains (truncated)"
p4.D3,"p21.F9, 460 strains (truncated)"
p9.F7,"p21.F9, 460 strains (truncated)"
p12.C1,"p21.F9, 460 strains (truncated)"
p21.C11,"p21.F9, 460 strains (truncated)"
p21.F5,"p21.F9, 460 strains (truncated)"
p25.E3,"p21.F9, 460 strains (truncated)"
p4.E6,"p21.F9, 460 strains (truncated)"
p11.F3,"p21.F9, 460 strains (truncated)"
p20.F11,"p21.F9, 460 strains (truncated)"
p24.A12,"p21.F9, 460 strains (truncated)"
p20.H3,"p21.F9, 460 strains (truncated)"
p25.H8,"p21.F9, 460 strains (truncated)"
p3.G12,"p21.F9, 460 strains (truncated)"
p6.D4,"p21.F9, 460 strains (truncated)"
p25.F3,"p21.F9, 460 strains (truncated)"
p24.D12,"p21.F9, 460 strains (truncated)"
p3.A11,"p21.F9, 460 strains (truncated)"
p13.H10,"p21.F9, 460 strains (truncated)"
p3.G5,"p21.F9, 460 strains (truncated)"
p1.D3,"p21.F9, 460 strains (truncated)"
p4.E5,"p21.F9, 460 strains (truncated)"
p25.E5,"p21.F9, 460 strains (truncated)"
p21.F11,"p21.F9, 460 strains (truncated)"
p21.E7,"p21.F9, 460 strains (truncated)"
p24.G9,"p21.F9, 460 strains (truncated)"
p26.B5,"p21.F9, 460 strains (truncated)"
p6.E7,"p21.F9, 460 strains (truncated)"
p13.C1,"p21.F9, 460 strains (truncated)"
p20.B3,"p21.F9, 460 strains (truncated)"
p7.B10,"p21.F9, 460 strains (truncated)"
p20.C3,"p21.F9, 460 strains (truncated)"
p4.F4,"p21.F9, 460 strains (truncated)"
p7.B1,"p7.B1, 66 strains (truncated)"
p20.E5,"p7.B1, 66 strains (truncated)"
p24.F5,"p7.B1, 66 strains (truncated)"
p9.G4,"p7.B1, 66 strains (truncated)"
p12.A1,"p7.B1, 66 strains (truncated)"
p7.B2,"p7.B1, 66 strains (truncated)"
p9.A2,"p7.B1, 66 strains (truncated)"
p13.H3,"p7.B1, 66 strains (truncated)"
p6.D5,"p7.B1, 66 strains (truncated)"
p24.C5,"p7.B1, 66 strains (truncated)"
p4.E4,"p7.B1, 66 strains (truncated)"
p5.B2,"p7.B1, 66 strains (truncated)"
p3.B1,"p7.B1, 66 strains (truncated)"
p9.B2,"p7.B1, 66 strains (truncated)"
p20.C5,"p7.B1, 66 strains (truncated)"
p3.E4,"p7.B1, 66 strains (truncated)"
p20.F5,"p7.B1, 66 strains (truncated)"
p8.B6,"p7.B1, 66 strains (truncated)"
p9.B10,"p7.B1, 66 strains (truncated)"
p3.A2,"p7.B1, 66 strains (truncated)"
p24.H5,"p7.B1, 66 strains (truncated)"
p9.B1,"p7.B1, 66 strains (truncated)"
p8.C7,"p7.B1, 66 strains (truncated)"
p1.A2,"p7.B1, 66 strains (truncated)"
p20.B5,"p7.B1, 66 strains (truncated)"
p6.B8,"p7.B1, 66 strains (truncated)"
p5.A1,"p7.B1, 66 strains (truncated)"
p4.C8,"p7.B1, 66 strains (truncated)"
p13.B2,"p7.B1, 66 strains (truncated)"
p5.A2,"p7.B1, 66 strains (truncated)"
p12.A10,"p7.B1, 66 strains (truncated)"
p1.B2,"p7.B1, 66 strains (truncated)"
p1.G4,"p7.B1, 66 strains (truncated)"
p20.D5,"p7.B1, 66 strains (truncated)"
