Strain,HP12_haplotype
446446_p6.A10,"p25.C2, 280 strains"
447447_p4.B7,"p25.C2, 280 strains"
449449_p24.G4,"p25.C2, 280 strains"
450450_p20.F4,"p25.C2, 280 strains"
452452_p6.A6,"p25.C2, 280 strains"
454454_p21.C2,"p25.C2, 280 strains"
456456_p5.A6,"p25.C2, 280 strains"
457457_p8.C3,"p25.C2, 280 strains"
458458_p6.B6,"p25.C2, 280 strains"
459459_p24.B4,"p25.C2, 280 strains"
460460_p25.F4,"p25.C2, 280 strains"
463463_p5.G2,"p25.C2, 280 strains"
464464_p2.C7,"p25.C2, 280 strains"
467467_p8.C6,"p25.C2, 280 strains"
470470_p12.B3,"p25.C2, 280 strains"
477477_p27.G5,"p25.C2, 280 strains"
479479_p13.E12,"p25.C2, 280 strains"
481481_p8.F8,"p25.C2, 280 strains"
489489_p7.B3,"p25.C2, 280 strains"
490490_p2.A10,"p25.C2, 280 strains"
496496_p1.H12,"p25.C2, 280 strains"
500500_p1.B3,"p25.C2, 280 strains"
501501_p13.D9,"p25.C2, 280 strains"
505505_p25.G7,"p25.C2, 280 strains"
507507_p12.G5,"p25.C2, 280 strains"
511511_p25.C8,"p25.C2, 280 strains"
512512_p1.C12,"p25.C2, 280 strains"
515515_p26.E6,"p25.C2, 280 strains"
516516_p3.A6,"p25.C2, 280 strains"
520520_p3.H7,"p25.C2, 280 strains"
521521_p24.F1,"p25.C2, 280 strains"
526526_p9.D8,"p25.C2, 280 strains"
527527_p12.B6,"p25.C2, 280 strains"
530530_p24.E1,"p25.C2, 280 strains"
531531_p25.D2,"p25.C2, 280 strains"
534534_p20.D1,"p25.C2, 280 strains"
535535_p25.B4,"p25.C2, 280 strains"
537537_p7.F1,"p25.C2, 280 strains"
539539_p7.H8,"p25.C2, 280 strains"
542542_p23.C1,"p25.C2, 280 strains"
545545_p3.F12,"p25.C2, 280 strains"
547547_p6.H10,"p25.C2, 280 strains"
548548_p13.G7,"p25.C2, 280 strains"
552552_p4.A6,"p25.C2, 280 strains"
553553_p4.A5,"p25.C2, 280 strains"
560560_p13.G6,"p25.C2, 280 strains"
562562_p5.E12,"p25.C2, 280 strains"
563563_p3.C10,"p25.C2, 280 strains"
564564_p7.H6,"p25.C2, 280 strains"
566566_p4.E1,"p25.C2, 280 strains"
568568_p20.H4,"p25.C2, 280 strains"
569569_p9.C8,"p25.C2, 280 strains"
572572_p24.C1,"p25.C2, 280 strains"
573573_p3.B7,"p25.C2, 280 strains"
574574_p7.A6,"p25.C2, 280 strains"
582582_p1.C10,"p25.C2, 280 strains"
583583_p9.H1,"p25.C2, 280 strains"
587587_p7.C8,"p25.C2, 280 strains"
588588_p11.E9,"p25.C2, 280 strains"
590590_p13.H5,"p25.C2, 280 strains"
591591_p21.B4,"p25.C2, 280 strains"
595595_p5.B4,"p25.C2, 280 strains"
599599_p1.C11,"p25.C2, 280 strains"
601601_p9.A3,"p25.C2, 280 strains"
606606_p6.E10,"p25.C2, 280 strains"
607607_p24.H4,"p25.C2, 280 strains"
611611_p25.G4,"p25.C2, 280 strains"
612612_p3.H6,"p25.C2, 280 strains"
613613_p8.C2,"p25.C2, 280 strains"
620620_p13.C8,"p25.C2, 280 strains"
623623_p12.A6,"p25.C2, 280 strains"
626626_p5.E2,"p25.C2, 280 strains"
631631_p3.D11,"p25.C2, 280 strains"
633633_p9.H7,"p25.C2, 280 strains"
634634_p20.C1,"p25.C2, 280 strains"
639639_p11.A5,"p25.C2, 280 strains"
642642_p24.D4,"p25.C2, 280 strains"
645645_p5.F1,"p25.C2, 280 strains"
649649_p6.E4,"p25.C2, 280 strains"
656656_p1.B4,"p25.C2, 280 strains"
660660_p13.H4,"p25.C2, 280 strains"
662662_p7.A7,"p25.C2, 280 strains"
663663_p25.D4,"p25.C2, 280 strains"
668668_p20.H1,"p25.C2, 280 strains"
669669_p24.G1,"p25.C2, 280 strains"
671671_p1.H6,"p25.C2, 280 strains"
672672_p20.E4,"p25.C2, 280 strains"
677677_p25.A5,"p25.C2, 280 strains"
678678_p6.A9,"p25.C2, 280 strains"
680680_p7.A3,"p25.C2, 280 strains"
691691_p21.D4,"p25.C2, 280 strains"
692692_p1.G3,"p25.C2, 280 strains"
695695_p20.C4,"p25.C2, 280 strains"
696696_p12.D9,"p25.C2, 280 strains"
699699_p4.C2,"p25.C2, 280 strains"
705705_p9.B7,"p25.C2, 280 strains"
707707_p24.A4,"p25.C2, 280 strains"
710710_p6.C2,"p25.C2, 280 strains"
712712_p9.D9,"p25.C2, 280 strains"
715715_p8.E10,"p25.C2, 280 strains"
716716_p20.B4,"p25.C2, 280 strains"
718718_p7.G8,"p25.C2, 280 strains"
721721_p7.G1,"p25.C2, 280 strains"
723723_p6.C3,"p25.C2, 280 strains"
724724_p1.A3,"p25.C2, 280 strains"
728728_p6.B3,"p25.C2, 280 strains"
730730_p5.B3,"p25.C2, 280 strains"
735735_p6.B7,"p25.C2, 280 strains"
739739_p9.H6,"p25.C2, 280 strains"
741741_p1.G8,"p25.C2, 280 strains"
743743_p7.H2,"p25.C2, 280 strains"
744744_p9.H3,"p25.C2, 280 strains"
745745_p9.A4,"p25.C2, 280 strains"
746746_p4.B2,"p25.C2, 280 strains"
748748_p11.E1,"p25.C2, 280 strains"
751751_p9.A7,"p25.C2, 280 strains"
752752_p25.B2,"p25.C2, 280 strains"
753753_p23.A1,"p25.C2, 280 strains"
756756_p21.B2,"p25.C2, 280 strains"
760760_p11.C2,"p25.C2, 280 strains"
