"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p11.C1","2",NA,NA,NA,NA,NA,NA,NA
"p11.C10","2",NA,NA,NA,NA,NA,NA,NA
"p11.C11","2",NA,NA,NA,NA,NA,NA,NA
"p11.C12","1","2",NA,NA,NA,NA,NA,NA
"p11.C2","2",NA,NA,NA,NA,NA,NA,NA
"p11.C3","2",NA,NA,NA,NA,NA,NA,NA
"p11.C4","1","2",NA,NA,NA,NA,NA,NA
"p11.C5","1","1",NA,NA,NA,NA,NA,NA
"p11.C6","3",NA,NA,NA,NA,NA,NA,NA
"p11.C7","3","1","4",NA,NA,NA,NA,NA
"p11.C8","2",NA,NA,NA,NA,NA,NA,NA
"p11.C9","2","1",NA,NA,NA,NA,NA,NA
"p11.D1","2","3",NA,NA,NA,NA,NA,NA
"p11.D2","1","2",NA,NA,NA,NA,NA,NA
"p11.D3","4","1","1",NA,NA,NA,NA,NA
"p11.D4","4","1",NA,NA,NA,NA,NA,NA
"p11.D6","2",NA,NA,NA,NA,NA,NA,NA
"p11.D8","2",NA,NA,NA,NA,NA,NA,NA
"p11.D9","2",NA,NA,NA,NA,NA,NA,NA
"p11.E1","2","1","3",NA,NA,NA,NA,NA
"p11.E10","3","4","2",NA,NA,NA,NA,NA
"p11.E11","4","4","4","1",NA,NA,NA,NA
"p11.E2","1","2",NA,NA,NA,NA,NA,NA
"p11.E3","1","1","3","1",NA,NA,NA,NA
"p11.E4","1","3","1","1","4",NA,NA,NA
"p11.E6","2",NA,NA,NA,NA,NA,NA,NA
"p11.E7","2",NA,NA,NA,NA,NA,NA,NA
"p11.E8","2",NA,NA,NA,NA,NA,NA,NA
"p11.E9","3","4","2",NA,NA,NA,NA,NA
"p11.F1","1","1","4",NA,NA,NA,NA,NA
"p11.F10","2",NA,NA,NA,NA,NA,NA,NA
"p11.F11","1","1",NA,NA,NA,NA,NA,NA
"p11.F2","4","2","1",NA,NA,NA,NA,NA
"p11.F3","2","3",NA,NA,NA,NA,NA,NA
"p11.F6","4","2","3",NA,NA,NA,NA,NA
"p11.F7","1","4",NA,NA,NA,NA,NA,NA
"p11.F8","2","3",NA,NA,NA,NA,NA,NA
"p11.F9","1","4","2",NA,NA,NA,NA,NA
"p11.G1","2","1","4",NA,NA,NA,NA,NA
"p11.G10","4","2","3",NA,NA,NA,NA,NA
"p11.G11","1","1","2",NA,NA,NA,NA,NA
"p11.G2","4",NA,NA,NA,NA,NA,NA,NA
"p11.G3","1","1","1","2",NA,NA,NA,NA
"p11.G4","4","2",NA,NA,NA,NA,NA,NA
"p11.G5","1","4","2",NA,NA,NA,NA,NA
"p11.G7","2","1","4",NA,NA,NA,NA,NA
"p11.G8","2","3",NA,NA,NA,NA,NA,NA
"p11.G9","1","4","4","2",NA,NA,NA,NA
"p11.H1","1","2","4",NA,NA,NA,NA,NA
"p11.H10","4","2","3",NA,NA,NA,NA,NA
"p11.H11","1","1",NA,NA,NA,NA,NA,NA
"p11.H12","4","2","1",NA,NA,NA,NA,NA
"p11.H3","4",NA,NA,NA,NA,NA,NA,NA
"p11.H4","1","4","2",NA,NA,NA,NA,NA
"p11.H5","4","1","2",NA,NA,NA,NA,NA
"p11.H6","2","4","3",NA,NA,NA,NA,NA
"p11.H7","1","2","4",NA,NA,NA,NA,NA
"p11.H8","2","3",NA,NA,NA,NA,NA,NA
"p11.H9","2","1","3","4",NA,NA,NA,NA
"p12.A1","1","1","4","2",NA,NA,NA,NA
"p12.A10","4","4","4","2",NA,NA,NA,NA
"p12.A11","1","2",NA,NA,NA,NA,NA,NA
"p12.A2","2","4","1","1",NA,NA,NA,NA
"p12.A5","2",NA,NA,NA,NA,NA,NA,NA
"p12.A6","2",NA,NA,NA,NA,NA,NA,NA
"p12.A7","3","2",NA,NA,NA,NA,NA,NA
"p12.A8","2","3",NA,NA,NA,NA,NA,NA
"p12.A9","4","4","1",NA,NA,NA,NA,NA
"p12.B1","2","4","1",NA,NA,NA,NA,NA
"p12.B10","4","4","4","2",NA,NA,NA,NA
"p12.B11","2","1",NA,NA,NA,NA,NA,NA
"p12.B2","2","1","4",NA,NA,NA,NA,NA
"p12.B3","2",NA,NA,NA,NA,NA,NA,NA
"p12.B5","2",NA,NA,NA,NA,NA,NA,NA
"p12.B6","2",NA,NA,NA,NA,NA,NA,NA
"p12.B7","3","2",NA,NA,NA,NA,NA,NA
"p12.B8","2","3",NA,NA,NA,NA,NA,NA
"p12.B9","4","1","2",NA,NA,NA,NA,NA
"p12.C1","2","3",NA,NA,NA,NA,NA,NA
"p12.C10","2",NA,NA,NA,NA,NA,NA,NA
"p12.C11","1","4","3",NA,NA,NA,NA,NA
"p12.C2","2",NA,NA,NA,NA,NA,NA,NA
"p12.C3","2",NA,NA,NA,NA,NA,NA,NA
"p12.C5","2",NA,NA,NA,NA,NA,NA,NA
"p12.C6","2",NA,NA,NA,NA,NA,NA,NA
"p12.C7","2",NA,NA,NA,NA,NA,NA,NA
"p12.C8","2",NA,NA,NA,NA,NA,NA,NA
"p12.C9","2",NA,NA,NA,NA,NA,NA,NA
"p12.D1","2",NA,NA,NA,NA,NA,NA,NA
"p12.D12","1","2",NA,NA,NA,NA,NA,NA
"p12.D2","2",NA,NA,NA,NA,NA,NA,NA
