"","phage1","phage2","phage3","phage4","phage5","phage6","phage7","phage8"
"p20.H2","2","4","1",NA,NA,NA,NA,NA
"p20.H3","3","2",NA,NA,NA,NA,NA,NA
"p20.H4","4","2","3",NA,NA,NA,NA,NA
"p20.H5","2","4","4",NA,NA,NA,NA,NA
"p20.H7","1","1","2","4",NA,NA,NA,NA
"p20.H8","2",NA,NA,NA,NA,NA,NA,NA
"p20.H9","3","2",NA,NA,NA,NA,NA,NA
"p21.A1","2","1",NA,NA,NA,NA,NA,NA
"p21.A10","2","4",NA,NA,NA,NA,NA,NA
"p21.A11","2",NA,NA,NA,NA,NA,NA,NA
"p21.A12","1","1","2",NA,NA,NA,NA,NA
"p21.A2","2","3",NA,NA,NA,NA,NA,NA
"p21.A3","2",NA,NA,NA,NA,NA,NA,NA
"p21.A4","4","1","2","3",NA,NA,NA,NA
"p21.A5","2",NA,NA,NA,NA,NA,NA,NA
"p21.A7","2","1",NA,NA,NA,NA,NA,NA
"p21.A8","2",NA,NA,NA,NA,NA,NA,NA
"p21.A9","2",NA,NA,NA,NA,NA,NA,NA
"p21.B1","1","2",NA,NA,NA,NA,NA,NA
"p21.B10","1","4","2",NA,NA,NA,NA,NA
"p21.B11","2",NA,NA,NA,NA,NA,NA,NA
"p21.B12","1","2",NA,NA,NA,NA,NA,NA
"p21.B2","2",NA,NA,NA,NA,NA,NA,NA
"p21.B3","2",NA,NA,NA,NA,NA,NA,NA
"p21.B4","4","3","2",NA,NA,NA,NA,NA
"p21.B5","2","4","3",NA,NA,NA,NA,NA
"p21.B7","2","1",NA,NA,NA,NA,NA,NA
"p21.B8","2",NA,NA,NA,NA,NA,NA,NA
"p21.B9","2",NA,NA,NA,NA,NA,NA,NA
"p21.C1","2",NA,NA,NA,NA,NA,NA,NA
"p21.C10","2","4",NA,NA,NA,NA,NA,NA
"p21.C11","2",NA,NA,NA,NA,NA,NA,NA
"p21.C12","1","2",NA,NA,NA,NA,NA,NA
"p21.C2","2",NA,NA,NA,NA,NA,NA,NA
"p21.C3","2",NA,NA,NA,NA,NA,NA,NA
"p21.C4","3","4","2",NA,NA,NA,NA,NA
"p21.C5","2","3","4",NA,NA,NA,NA,NA
"p21.C7","2","1",NA,NA,NA,NA,NA,NA
"p21.C8","2",NA,NA,NA,NA,NA,NA,NA
"p21.C9","2",NA,NA,NA,NA,NA,NA,NA
"p21.D1","2","1",NA,NA,NA,NA,NA,NA
"p21.D10","2","4",NA,NA,NA,NA,NA,NA
"p21.D11","2",NA,NA,NA,NA,NA,NA,NA
"p21.D2","3","2",NA,NA,NA,NA,NA,NA
"p21.D3","2",NA,NA,NA,NA,NA,NA,NA
"p21.D4","3","2","4",NA,NA,NA,NA,NA
"p21.D5","2",NA,NA,NA,NA,NA,NA,NA
"p21.D7","2","1",NA,NA,NA,NA,NA,NA
"p21.D8","2",NA,NA,NA,NA,NA,NA,NA
"p21.D9","2",NA,NA,NA,NA,NA,NA,NA
"p21.E1","2","1",NA,NA,NA,NA,NA,NA
"p21.E10","2","4",NA,NA,NA,NA,NA,NA
"p21.E11","2",NA,NA,NA,NA,NA,NA,NA
"p21.E12","1","2","1",NA,NA,NA,NA,NA
"p21.E2","2","3",NA,NA,NA,NA,NA,NA
"p21.E3","2",NA,NA,NA,NA,NA,NA,NA
"p21.E4","3","4","2","1",NA,NA,NA,NA
"p21.E5","3","2","4",NA,NA,NA,NA,NA
"p21.E7","1","2",NA,NA,NA,NA,NA,NA
"p21.E8","2",NA,NA,NA,NA,NA,NA,NA
"p21.E9","2",NA,NA,NA,NA,NA,NA,NA
"p21.F1","2",NA,NA,NA,NA,NA,NA,NA
"p21.F10","4","2",NA,NA,NA,NA,NA,NA
"p21.F11","2",NA,NA,NA,NA,NA,NA,NA
"p21.F12","2","1",NA,NA,NA,NA,NA,NA
"p21.F2","3","2",NA,NA,NA,NA,NA,NA
"p21.F3","2",NA,NA,NA,NA,NA,NA,NA
"p21.F4","3","2","4",NA,NA,NA,NA,NA
"p21.F5","2",NA,NA,NA,NA,NA,NA,NA
"p21.F7","1","2",NA,NA,NA,NA,NA,NA
"p21.F8","2",NA,NA,NA,NA,NA,NA,NA
"p21.F9","2",NA,NA,NA,NA,NA,NA,NA
"p21.G1","2","1",NA,NA,NA,NA,NA,NA
"p21.G10","4","2",NA,NA,NA,NA,NA,NA
"p21.G11","2",NA,NA,NA,NA,NA,NA,NA
"p21.G12","1","2",NA,NA,NA,NA,NA,NA
"p21.G2","2",NA,NA,NA,NA,NA,NA,NA
"p21.G3","2",NA,NA,NA,NA,NA,NA,NA
"p21.G4","2","4","3",NA,NA,NA,NA,NA
"p21.G5","2",NA,NA,NA,NA,NA,NA,NA
"p21.G7","1","2",NA,NA,NA,NA,NA,NA
"p21.G8","2",NA,NA,NA,NA,NA,NA,NA
"p21.G9","2",NA,NA,NA,NA,NA,NA,NA
"p21.H1","2","1",NA,NA,NA,NA,NA,NA
"p21.H10","2","4",NA,NA,NA,NA,NA,NA
"p21.H11","2",NA,NA,NA,NA,NA,NA,NA
"p21.H12","1","2",NA,NA,NA,NA,NA,NA
"p21.H2","2","3",NA,NA,NA,NA,NA,NA
"p21.H3","2",NA,NA,NA,NA,NA,NA,NA
"p21.H4","3","2","4",NA,NA,NA,NA,NA
"p21.H5","2",NA,NA,NA,NA,NA,NA,NA
"p21.H7","1","2",NA,NA,NA,NA,NA,NA
"p21.H8","2",NA,NA,NA,NA,NA,NA,NA
"p21.H9","2",NA,NA,NA,NA,NA,NA,NA
"p22.A1","3","1","2",NA,NA,NA,NA,NA
"p22.A2","1","2","4","1","1",NA,NA,NA
"p22.A3","2",NA,NA,NA,NA,NA,NA,NA
"p22.A4","3","2","1",NA,NA,NA,NA,NA
"p22.A5","2",NA,NA,NA,NA,NA,NA,NA
"p22.A7","2",NA,NA,NA,NA,NA,NA,NA
"p22.A8","2",NA,NA,NA,NA,NA,NA,NA
"p22.B1","3","2",NA,NA,NA,NA,NA,NA
"p22.B2","2","1","1","4","1",NA,NA,NA
"p22.B3","1","3","2",NA,NA,NA,NA,NA
"p22.B4","2","1","3",NA,NA,NA,NA,NA
"p22.B5","2",NA,NA,NA,NA,NA,NA,NA
"p22.B7","2",NA,NA,NA,NA,NA,NA,NA
"p22.B8","1","1","1","2",NA,NA,NA,NA
"p22.C1","1","2",NA,NA,NA,NA,NA,NA
"p22.C2","1","1","1","2","4",NA,NA,NA
"p22.C3","2",NA,NA,NA,NA,NA,NA,NA
"p22.C4","2",NA,NA,NA,NA,NA,NA,NA
"p22.C5","2",NA,NA,NA,NA,NA,NA,NA
"p22.C7","2",NA,NA,NA,NA,NA,NA,NA
"p22.C8","1","2","1","1",NA,NA,NA,NA
"p22.D1","2",NA,NA,NA,NA,NA,NA,NA
"p22.D3","1","2",NA,NA,NA,NA,NA,NA
"p22.D4","2",NA,NA,NA,NA,NA,NA,NA
"p22.E1","1","3","2",NA,NA,NA,NA,NA
"p22.E2","2","1","4","1","1",NA,NA,NA
"p22.E3","3","1","2",NA,NA,NA,NA,NA
"p22.E4","2",NA,NA,NA,NA,NA,NA,NA
"p22.E5","2",NA,NA,NA,NA,NA,NA,NA
"p22.E7","2","1","1","1",NA,NA,NA,NA
"p22.F1","2","3",NA,NA,NA,NA,NA,NA
"p22.F2","2","1","1","4","1",NA,NA,NA
"p22.F3","3","2","1",NA,NA,NA,NA,NA
"p22.F4","2",NA,NA,NA,NA,NA,NA,NA
"p22.F5","2",NA,NA,NA,NA,NA,NA,NA
"p22.F7","1","1","1","2",NA,NA,NA,NA
"p22.G1","3","2",NA,NA,NA,NA,NA,NA
"p22.G2","2","4","1","1","1",NA,NA,NA
"p22.G3","2",NA,NA,NA,NA,NA,NA,NA
"p22.G4","2",NA,NA,NA,NA,NA,NA,NA
"p22.G5","2",NA,NA,NA,NA,NA,NA,NA
"p22.G7","1","1","2","1",NA,NA,NA,NA
"p22.H1","2","3",NA,NA,NA,NA,NA,NA
"p22.H2","2","1","1","4","1",NA,NA,NA
"p22.H3","1","3","2",NA,NA,NA,NA,NA
"p22.H4","2",NA,NA,NA,NA,NA,NA,NA
"p22.H5","2",NA,NA,NA,NA,NA,NA,NA
"p23.A1","4","2",NA,NA,NA,NA,NA,NA
"p23.A2","2",NA,NA,NA,NA,NA,NA,NA
"p23.A3","1","3","2",NA,NA,NA,NA,NA
"p23.A4","3","2","3","4",NA,NA,NA,NA
"p23.A5","1","4",NA,NA,NA,NA,NA,NA
"p23.A6","1","3","2",NA,NA,NA,NA,NA
"p23.A7","1","2","3",NA,NA,NA,NA,NA
"p23.A8","1","4","2",NA,NA,NA,NA,NA
"p23.A9","4","3","2",NA,NA,NA,NA,NA
"p23.B1","4","2",NA,NA,NA,NA,NA,NA
"p23.B2","4","2",NA,NA,NA,NA,NA,NA
"p23.B3","4","2",NA,NA,NA,NA,NA,NA
"p23.B4","1","1","4",NA,NA,NA,NA,NA
"p23.B5","1","3","2",NA,NA,NA,NA,NA
"p23.B6","1","2","3",NA,NA,NA,NA,NA
"p23.B7","2","1","4",NA,NA,NA,NA,NA
"p23.B8","3","1","2",NA,NA,NA,NA,NA
"p23.B9","2","1",NA,NA,NA,NA,NA,NA
"p23.C1","4","2","1",NA,NA,NA,NA,NA
"p23.C2","3","4","2",NA,NA,NA,NA,NA
"p23.C3","2","1","3",NA,NA,NA,NA,NA
"p23.C4","2","1","3",NA,NA,NA,NA,NA
"p23.C5","3","1","2",NA,NA,NA,NA,NA
"p23.C6","3","1","4",NA,NA,NA,NA,NA
"p23.C7","1","2","4",NA,NA,NA,NA,NA
"p23.C8","1","1","2",NA,NA,NA,NA,NA
"p23.C9","1","3","2",NA,NA,NA,NA,NA
"p23.D1","1","2","4",NA,NA,NA,NA,NA
"p23.D2","1","2","1",NA,NA,NA,NA,NA
"p23.D3","3","1","2",NA,NA,NA,NA,NA
"p23.D4","2","3","1",NA,NA,NA,NA,NA
"p23.D5","1","3","2",NA,NA,NA,NA,NA
"p23.D6","1","4","2",NA,NA,NA,NA,NA
"p23.D7","1",NA,NA,NA,NA,NA,NA,NA
"p23.D9","2","1",NA,NA,NA,NA,NA,NA
"p23.E1","1","2",NA,NA,NA,NA,NA,NA
"p23.E2","1","4","2",NA,NA,NA,NA,NA
"p23.E5","3","1","2","1",NA,NA,NA,NA
"p23.E6","2","1",NA,NA,NA,NA,NA,NA
"p23.E7","4","1","2",NA,NA,NA,NA,NA
"p23.E9","3","1","2",NA,NA,NA,NA,NA
"p23.F1","2","1",NA,NA,NA,NA,NA,NA
"p23.F2","2","1","4",NA,NA,NA,NA,NA
"p23.F4","3","2","1","1",NA,NA,NA,NA
"p23.F5","2","1",NA,NA,NA,NA,NA,NA
"p23.F6","2","1","4",NA,NA,NA,NA,NA
"p23.F9","2",NA,NA,NA,NA,NA,NA,NA
"p23.G1","2","1",NA,NA,NA,NA,NA,NA
"p23.G2","2","1","4",NA,NA,NA,NA,NA
"p23.G3","4","2",NA,NA,NA,NA,NA,NA
"p23.G5","1","2",NA,NA,NA,NA,NA,NA
"p23.G6","2","4","1",NA,NA,NA,NA,NA
"p23.G7","2","4",NA,NA,NA,NA,NA,NA
"p23.G9","3","1","2",NA,NA,NA,NA,NA
"p23.H1","2","1",NA,NA,NA,NA,NA,NA
"p23.H2","2","1","4",NA,NA,NA,NA,NA
"p23.H3","2","4",NA,NA,NA,NA,NA,NA
"p23.H5","2","1",NA,NA,NA,NA,NA,NA
"p23.H6","4","2","1",NA,NA,NA,NA,NA
"p23.H7","2","4",NA,NA,NA,NA,NA,NA
"p23.H9","2","1",NA,NA,NA,NA,NA,NA
"p24.A1","2",NA,NA,NA,NA,NA,NA,NA
"p24.A10","4",NA,NA,NA,NA,NA,NA,NA
"p24.A11","3","2",NA,NA,NA,NA,NA,NA
"p24.A12","2",NA,NA,NA,NA,NA,NA,NA
"p24.A3","3","2",NA,NA,NA,NA,NA,NA
"p24.A4","2","3","4",NA,NA,NA,NA,NA
"p24.A5","2","4","4",NA,NA,NA,NA,NA
"p24.A7","4","1","2","4",NA,NA,NA,NA
"p24.A8","2",NA,NA,NA,NA,NA,NA,NA
"p24.A9","2",NA,NA,NA,NA,NA,NA,NA
"p24.B1","2",NA,NA,NA,NA,NA,NA,NA
"p24.B10","2","3",NA,NA,NA,NA,NA,NA
"p24.B11","2","3",NA,NA,NA,NA,NA,NA
"p24.B12","2",NA,NA,NA,NA,NA,NA,NA
"p24.B3","3","2",NA,NA,NA,NA,NA,NA
"p24.B4","4","2","3",NA,NA,NA,NA,NA
"p24.B5","2","1","1","1",NA,NA,NA,NA
"p24.B7","1","1","4","2","4",NA,NA,NA
"p24.B8","2",NA,NA,NA,NA,NA,NA,NA
"p24.B9","3","2",NA,NA,NA,NA,NA,NA
"p24.C1","2",NA,NA,NA,NA,NA,NA,NA
"p24.C10","2","3",NA,NA,NA,NA,NA,NA
"p24.C11","3","2",NA,NA,NA,NA,NA,NA
"p24.C12","2",NA,NA,NA,NA,NA,NA,NA
"p24.C2","2","4","1",NA,NA,NA,NA,NA
"p24.C3","2","3",NA,NA,NA,NA,NA,NA
"p24.C4","3","2","1","4",NA,NA,NA,NA
"p24.C5","2","2","4","4",NA,NA,NA,NA
"p24.C7","2","4","1","1",NA,NA,NA,NA
"p24.C8","2",NA,NA,NA,NA,NA,NA,NA
"p24.C9","2",NA,NA,NA,NA,NA,NA,NA
"p24.D1","2",NA,NA,NA,NA,NA,NA,NA
"p24.D10","4",NA,NA,NA,NA,NA,NA,NA
"p24.D11","2","3",NA,NA,NA,NA,NA,NA
"p24.D12","2",NA,NA,NA,NA,NA,NA,NA
"p24.D2","2",NA,NA,NA,NA,NA,NA,NA
"p24.D3","3","1","2",NA,NA,NA,NA,NA
"p24.D4","3","4","1","2",NA,NA,NA,NA
"p24.D5","2","4","4",NA,NA,NA,NA,NA
"p24.D7","2","1","4","1",NA,NA,NA,NA
"p24.D8","2",NA,NA,NA,NA,NA,NA,NA
"p24.D9","2",NA,NA,NA,NA,NA,NA,NA
"p24.E1","2",NA,NA,NA,NA,NA,NA,NA
"p24.E10","2","3",NA,NA,NA,NA,NA,NA
"p24.E11","4","2",NA,NA,NA,NA,NA,NA
"p24.E12","2",NA,NA,NA,NA,NA,NA,NA
"p24.E2","2",NA,NA,NA,NA,NA,NA,NA
"p24.E3","3","2",NA,NA,NA,NA,NA,NA
"p24.E4","3","4","1","2",NA,NA,NA,NA
"p24.E5","2","4","4",NA,NA,NA,NA,NA
"p24.E7","2",NA,NA,NA,NA,NA,NA,NA
"p24.E8","2",NA,NA,NA,NA,NA,NA,NA
"p24.E9","2",NA,NA,NA,NA,NA,NA,NA
"p24.F1","2",NA,NA,NA,NA,NA,NA,NA
"p24.F10","4",NA,NA,NA,NA,NA,NA,NA
"p24.F11","3","2",NA,NA,NA,NA,NA,NA
"p24.F12","2",NA,NA,NA,NA,NA,NA,NA
"p24.F2","2","3",NA,NA,NA,NA,NA,NA
"p24.F3","2","3",NA,NA,NA,NA,NA,NA
"p24.F4","2","3","4","1",NA,NA,NA,NA
"p24.F5","2","4","4",NA,NA,NA,NA,NA
"p24.F7","2","1",NA,NA,NA,NA,NA,NA
"p24.F8","2",NA,NA,NA,NA,NA,NA,NA
"p24.F9","3","2",NA,NA,NA,NA,NA,NA
"p24.G1","2",NA,NA,NA,NA,NA,NA,NA
"p24.G10","4",NA,NA,NA,NA,NA,NA,NA
"p24.G11","2","3",NA,NA,NA,NA,NA,NA
"p24.G12","2",NA,NA,NA,NA,NA,NA,NA
"p24.G2","2","1","4",NA,NA,NA,NA,NA
"p24.G3","2","3",NA,NA,NA,NA,NA,NA
"p24.G4","4","2","3",NA,NA,NA,NA,NA
"p24.G5","2","4","4",NA,NA,NA,NA,NA
"p24.G7","2","4","1",NA,NA,NA,NA,NA
"p24.G8","2",NA,NA,NA,NA,NA,NA,NA
"p24.G9","2",NA,NA,NA,NA,NA,NA,NA
"p24.H1","2",NA,NA,NA,NA,NA,NA,NA
"p24.H10","2","3",NA,NA,NA,NA,NA,NA
"p24.H11","2","3",NA,NA,NA,NA,NA,NA
"p24.H2","4","1","2",NA,NA,NA,NA,NA
"p24.H3","2","3",NA,NA,NA,NA,NA,NA
"p24.H4","1","2","4","3",NA,NA,NA,NA
"p24.H5","4","2","4","4",NA,NA,NA,NA
"p24.H6","2","4","1",NA,NA,NA,NA,NA
"p24.H7","4","1","4","2",NA,NA,NA,NA
"p24.H8","2",NA,NA,NA,NA,NA,NA,NA
"p24.H9","2","1",NA,NA,NA,NA,NA,NA
"p25.A1","2",NA,NA,NA,NA,NA,NA,NA
"p25.A10","4","2",NA,NA,NA,NA,NA,NA
"p25.A11","2",NA,NA,NA,NA,NA,NA,NA
"p25.A12","2","2",NA,NA,NA,NA,NA,NA
"p25.A2","2","3",NA,NA,NA,NA,NA,NA
"p25.A3","2",NA,NA,NA,NA,NA,NA,NA
"p25.A4","2","4","3",NA,NA,NA,NA,NA
"p25.A5","2","4","3",NA,NA,NA,NA,NA
"p25.A7","2",NA,NA,NA,NA,NA,NA,NA
"p25.A8","2",NA,NA,NA,NA,NA,NA,NA
"p25.A9","2",NA,NA,NA,NA,NA,NA,NA
"p25.B1","1","2","1",NA,NA,NA,NA,NA
"p25.B10","4","2",NA,NA,NA,NA,NA,NA
"p25.B11","2",NA,NA,NA,NA,NA,NA,NA
"p25.B12","2",NA,NA,NA,NA,NA,NA,NA
"p25.B2","2",NA,NA,NA,NA,NA,NA,NA
"p25.B3","2",NA,NA,NA,NA,NA,NA,NA
"p25.B4","2","4","4","3",NA,NA,NA,NA
"p25.B5","2",NA,NA,NA,NA,NA,NA,NA
"p25.B7","1","2",NA,NA,NA,NA,NA,NA
"p25.B8","2",NA,NA,NA,NA,NA,NA,NA
"p25.B9","2",NA,NA,NA,NA,NA,NA,NA
"p25.C1","2",NA,NA,NA,NA,NA,NA,NA
"p25.C10","2","4",NA,NA,NA,NA,NA,NA
"p25.C11","2",NA,NA,NA,NA,NA,NA,NA
"p25.C12","1","2",NA,NA,NA,NA,NA,NA
"p25.C2","2",NA,NA,NA,NA,NA,NA,NA
"p25.C3","2",NA,NA,NA,NA,NA,NA,NA
"p25.C4","4","1","3","2",NA,NA,NA,NA
"p25.C5","2",NA,NA,NA,NA,NA,NA,NA
"p25.C7","2","1",NA,NA,NA,NA,NA,NA
"p25.C8","3","4","2",NA,NA,NA,NA,NA
"p25.C9","2",NA,NA,NA,NA,NA,NA,NA
"p25.D1","2","1",NA,NA,NA,NA,NA,NA
"p25.D10","2","4",NA,NA,NA,NA,NA,NA
"p25.D11","2",NA,NA,NA,NA,NA,NA,NA
"p25.D12","1","2",NA,NA,NA,NA,NA,NA
"p25.D2","2",NA,NA,NA,NA,NA,NA,NA
"p25.D3","2",NA,NA,NA,NA,NA,NA,NA
"p25.D4","1","3","4","2",NA,NA,NA,NA
"p25.D5","2",NA,NA,NA,NA,NA,NA,NA
"p25.D7","2",NA,NA,NA,NA,NA,NA,NA
"p25.D8","2",NA,NA,NA,NA,NA,NA,NA
"p25.D9","2",NA,NA,NA,NA,NA,NA,NA
"p25.E1","1","1","2",NA,NA,NA,NA,NA
"p25.E10","4","4","2",NA,NA,NA,NA,NA
"p25.E11","2",NA,NA,NA,NA,NA,NA,NA
"p25.E12","1","2",NA,NA,NA,NA,NA,NA
"p25.E2","2",NA,NA,NA,NA,NA,NA,NA
"p25.E3","2",NA,NA,NA,NA,NA,NA,NA
"p25.E4","4","2","3",NA,NA,NA,NA,NA
"p25.E5","2",NA,NA,NA,NA,NA,NA,NA
"p25.E7","2",NA,NA,NA,NA,NA,NA,NA
"p25.E8","2","1",NA,NA,NA,NA,NA,NA
"p25.E9","2","1",NA,NA,NA,NA,NA,NA
"p25.F1","2",NA,NA,NA,NA,NA,NA,NA
"p25.F10","4","2",NA,NA,NA,NA,NA,NA
"p25.F11","2",NA,NA,NA,NA,NA,NA,NA
"p25.F12","1","2",NA,NA,NA,NA,NA,NA
"p25.F2","2",NA,NA,NA,NA,NA,NA,NA
"p25.F3","2",NA,NA,NA,NA,NA,NA,NA
"p25.F4","2","4","1","3",NA,NA,NA,NA
"p25.F5","2",NA,NA,NA,NA,NA,NA,NA
"p25.F7","2","1",NA,NA,NA,NA,NA,NA
"p25.F8","2",NA,NA,NA,NA,NA,NA,NA
"p25.F9","2",NA,NA,NA,NA,NA,NA,NA
"p25.G1","2","1",NA,NA,NA,NA,NA,NA
"p25.G10","4","2",NA,NA,NA,NA,NA,NA
"p25.G11","2",NA,NA,NA,NA,NA,NA,NA
"p25.G12","2",NA,NA,NA,NA,NA,NA,NA
"p25.G2","3","2",NA,NA,NA,NA,NA,NA
"p25.G3","2",NA,NA,NA,NA,NA,NA,NA
"p25.G4","4","2","3",NA,NA,NA,NA,NA
"p25.G5","2",NA,NA,NA,NA,NA,NA,NA
"p25.G7","2","4","3",NA,NA,NA,NA,NA
"p25.G8","1","2",NA,NA,NA,NA,NA,NA
"p25.G9","2",NA,NA,NA,NA,NA,NA,NA
"p25.H1","2","1",NA,NA,NA,NA,NA,NA
"p25.H10","4","2",NA,NA,NA,NA,NA,NA
"p25.H11","2",NA,NA,NA,NA,NA,NA,NA
"p25.H12","1","1","2",NA,NA,NA,NA,NA
"p25.H2","2","3",NA,NA,NA,NA,NA,NA
"p25.H3","2",NA,NA,NA,NA,NA,NA,NA
"p25.H4","3","4","2",NA,NA,NA,NA,NA
"p25.H5","3","4","2",NA,NA,NA,NA,NA
"p25.H7","2",NA,NA,NA,NA,NA,NA,NA
"p25.H8","2",NA,NA,NA,NA,NA,NA,NA
"p25.H9","2",NA,NA,NA,NA,NA,NA,NA
"p26.A1","3","1","2",NA,NA,NA,NA,NA
"p26.A10","1","2",NA,NA,NA,NA,NA,NA
"p26.A2","2","1","4","1","1",NA,NA,NA
"p26.A4","2",NA,NA,NA,NA,NA,NA,NA
"p26.A5","1","2","3",NA,NA,NA,NA,NA
"p26.A7","2",NA,NA,NA,NA,NA,NA,NA
"p26.A8","2",NA,NA,NA,NA,NA,NA,NA
"p26.A9","1","1","1","2",NA,NA,NA,NA
"p26.B1","2","3",NA,NA,NA,NA,NA,NA
"p26.B10","2","3",NA,NA,NA,NA,NA,NA
"p26.B2","2","1","1","1","4",NA,NA,NA
"p26.B3","4","2",NA,NA,NA,NA,NA,NA
"p26.B4","2",NA,NA,NA,NA,NA,NA,NA
"p26.B5","2",NA,NA,NA,NA,NA,NA,NA
"p26.B6","2",NA,NA,NA,NA,NA,NA,NA
"p26.B7","4","2",NA,NA,NA,NA,NA,NA
"p26.B8","3","2",NA,NA,NA,NA,NA,NA
"p26.C1","2","3",NA,NA,NA,NA,NA,NA
"p26.C10","2","3","4","3",NA,NA,NA,NA
"p26.C2","2","1","4","1","1",NA,NA,NA
"p26.C3","2",NA,NA,NA,NA,NA,NA,NA
"p26.C4","2",NA,NA,NA,NA,NA,NA,NA
"p26.C5","2",NA,NA,NA,NA,NA,NA,NA
"p26.C7","2",NA,NA,NA,NA,NA,NA,NA
"p26.C9","2","3",NA,NA,NA,NA,NA,NA
"p26.D1","2","1","3",NA,NA,NA,NA,NA
"p26.D2","1","2","1","1",NA,NA,NA,NA
"p26.D3","1","2","3",NA,NA,NA,NA,NA
"p26.D4","2",NA,NA,NA,NA,NA,NA,NA
"p26.D5","2",NA,NA,NA,NA,NA,NA,NA
"p26.D6","2","2",NA,NA,NA,NA,NA,NA
"p26.D7","3","1","2","1",NA,NA,NA,NA
"p26.D8","3","2","1",NA,NA,NA,NA,NA
"p26.D9","1","1","1",NA,NA,NA,NA,NA
"p26.E1","1","3","2",NA,NA,NA,NA,NA
"p26.E10","1","3","2",NA,NA,NA,NA,NA
"p26.E2","2","4","1","1","1",NA,NA,NA
"p26.E3","3","2","1",NA,NA,NA,NA,NA
"p26.E4","2",NA,NA,NA,NA,NA,NA,NA
"p26.E5","2",NA,NA,NA,NA,NA,NA,NA
"p26.E6","4","2","1",NA,NA,NA,NA,NA
"p26.E7","2","1","3",NA,NA,NA,NA,NA
"p26.E8","3","2","1",NA,NA,NA,NA,NA
"p26.E9","2","3","1","1",NA,NA,NA,NA
"p26.F1","2","3",NA,NA,NA,NA,NA,NA
"p26.F10","2","3","1",NA,NA,NA,NA,NA
"p26.F2","2","1","1","4","1",NA,NA,NA
"p26.F3","1","2","3",NA,NA,NA,NA,NA
"p26.F4","2",NA,NA,NA,NA,NA,NA,NA
"p26.F5","2",NA,NA,NA,NA,NA,NA,NA
"p26.F8","1","2","4",NA,NA,NA,NA,NA
"p26.F9","2","2","1",NA,NA,NA,NA,NA
"p26.G1","2","1","3",NA,NA,NA,NA,NA
"p26.G10","1","4","2",NA,NA,NA,NA,NA
"p26.G2","4","1","2","1","1",NA,NA,NA
"p26.G3","1","2","3",NA,NA,NA,NA,NA
"p26.G4","2",NA,NA,NA,NA,NA,NA,NA
"p26.G5","2",NA,NA,NA,NA,NA,NA,NA
"p26.G6","2",NA,NA,NA,NA,NA,NA,NA
"p26.G7","2","1","4",NA,NA,NA,NA,NA
"p26.G8","4","2","1",NA,NA,NA,NA,NA
"p26.G9","2","4","1",NA,NA,NA,NA,NA
"p26.H1","1","2","3",NA,NA,NA,NA,NA
"p26.H2","2","1","1","4","1",NA,NA,NA
"p26.H3","1","2",NA,NA,NA,NA,NA,NA
"p26.H4","2",NA,NA,NA,NA,NA,NA,NA
"p26.H5","2",NA,NA,NA,NA,NA,NA,NA
"p26.H6","2",NA,NA,NA,NA,NA,NA,NA
"p26.H7","4","1","2",NA,NA,NA,NA,NA
"p26.H8","2",NA,NA,NA,NA,NA,NA,NA
"p26.H9","4","2",NA,NA,NA,NA,NA,NA
"p27.A1","2","1",NA,NA,NA,NA,NA,NA
"p27.A2","2","1",NA,NA,NA,NA,NA,NA
"p27.A3","2","1",NA,NA,NA,NA,NA,NA
"p27.A6","2","1","3",NA,NA,NA,NA,NA
"p27.A7","3","2","1",NA,NA,NA,NA,NA
"p27.B1","4","2","1",NA,NA,NA,NA,NA
"p27.B2","4","2","1",NA,NA,NA,NA,NA
"p27.B3","4","2","1",NA,NA,NA,NA,NA
"p27.B4","1","2",NA,NA,NA,NA,NA,NA
"p27.B6","2","1",NA,NA,NA,NA,NA,NA
"p27.B7","2","1",NA,NA,NA,NA,NA,NA
"p27.C5","4","4","1","2",NA,NA,NA,NA
"p27.C6","1","2","4",NA,NA,NA,NA,NA
"p27.D5","3","4","2",NA,NA,NA,NA,NA
"p27.D6","2",NA,NA,NA,NA,NA,NA,NA
"p27.E1","1","2",NA,NA,NA,NA,NA,NA
"p27.E2","2","1",NA,NA,NA,NA,NA,NA
"p27.E5","2","1","1","3",NA,NA,NA,NA
"p27.E6","3","2","1",NA,NA,NA,NA,NA
"p27.F2","2","1","1","1",NA,NA,NA,NA
"p27.F3","1","2",NA,NA,NA,NA,NA,NA
"p27.F4","2","1","1",NA,NA,NA,NA,NA
"p27.F5","1","2",NA,NA,NA,NA,NA,NA
"p27.F6","1","2",NA,NA,NA,NA,NA,NA
"p27.G3","1","1","2","1",NA,NA,NA,NA
"p27.G5","1","2","4",NA,NA,NA,NA,NA
"p27.G6","4","2","1",NA,NA,NA,NA,NA
"p27.H4","4","2","1",NA,NA,NA,NA,NA
"p27.H5","1","1","1","2",NA,NA,NA,NA
"p3.A1","4","2","1","1",NA,NA,NA,NA
"p3.A10","3","2",NA,NA,NA,NA,NA,NA
"p3.A11","1","2",NA,NA,NA,NA,NA,NA
"p3.A12","2","1",NA,NA,NA,NA,NA,NA
"p3.A2","1","1","4","2",NA,NA,NA,NA
"p3.A3","2",NA,NA,NA,NA,NA,NA,NA
"p3.A4","2",NA,NA,NA,NA,NA,NA,NA
